t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-5.6061e-15,-9.34349e-15,-6.75371e-18,1.42867e-09,-8.57202e-10,-2.58954e-14,-1.12122e-11,-1.8687e-11,-6.75371e-15,2.85734e-06,-1.7144e-06,-5.17909e-11,0.619411,0.619409,0.619412,0.619413
0.004,-9.03481e-14,-1.5058e-13,9.04699e-17,5.88043e-09,-3.52826e-09,-7.62858e-14,-9.09985e-11,-1.51664e-10,1.03977e-13,6.04619e-06,-3.62772e-06,-4.89899e-11,0.61941,0.619409,0.619412,0.619413
0.006,-4.63974e-13,-7.73289e-13,6.18013e-16,1.33867e-08,-8.03204e-09,-1.23942e-13,-3.12082e-10,-5.20136e-10,4.23565e-13,8.96641e-06,-5.37985e-06,-4.63221e-11,0.619411,0.619409,0.619412,0.619413
0.008,-1.47876e-12,-2.46459e-12,1.87475e-15,2.36461e-08,-1.41877e-08,-1.68813e-13,-7.42959e-10,-1.23826e-09,8.33168e-13,1.15524e-05,-6.93142e-06,-4.34212e-11,0.619411,0.619409,0.619412,0.619413
0.01,-3.61654e-12,-6.02757e-12,4.18856e-15,3.634e-08,-2.1804e-08,-2.10704e-13,-1.44464e-09,-2.40773e-09,1.48064e-12,1.38354e-05,-8.30126e-06,-4.03599e-11,0.619411,0.619409,0.619411,0.619413
0.012,-7.47395e-12,-1.24566e-11,7.94535e-15,5.1186e-08,-3.07116e-08,-2.4939e-13,-2.47103e-09,-4.11838e-09,2.27614e-12,1.58566e-05,-9.51398e-06,-3.70113e-11,0.619411,0.61941,0.619411,0.619412
0.014,-1.37491e-11,-2.29151e-11,1.33466e-14,6.79399e-08,-4.0764e-08,-2.84731e-13,-3.86986e-09,-6.44976e-09,3.12513e-12,1.7651e-05,-1.05906e-05,-3.36725e-11,0.619411,0.61941,0.619411,0.619412
0.016,-2.32301e-11,-3.87167e-11,2.05761e-14,8.63888e-08,-5.18333e-08,-3.16866e-13,-5.68349e-09,-9.47247e-09,4.1043e-12,1.92467e-05,-1.1548e-05,-3.05966e-11,0.619411,0.61941,0.619411,0.619412
0.018,-3.67848e-11,-6.13079e-11,2.98756e-14,1.06345e-07,-6.38071e-08,-3.45789e-13,-7.94957e-09,-1.32493e-08,5.19515e-12,2.0666e-05,-1.23996e-05,-2.72494e-11,0.619411,0.61941,0.619411,0.619412
0.02,-5.53524e-11,-9.22539e-11,4.06108e-14,1.27642e-07,-7.6585e-08,-3.72094e-13,-1.07016e-08,-1.7836e-08,5.54001e-12,2.1927e-05,-1.31562e-05,-2.53614e-11,0.619411,0.61941,0.619411,0.619412
0.022,-7.99398e-11,-1.33233e-10,3.99598e-14,1.51358e-07,-9.08146e-08,-4.46001e-13,-1.39789e-08,-2.32982e-08,-6.19103e-12,2.55051e-05,-1.53031e-05,-1.22451e-10,0.61941,0.619408,0.619412,0.619414
0.024,-1.11669e-10,-1.86115e-10,1.69276e-14,1.78775e-07,-1.07265e-07,-5.64499e-13,-1.78578e-08,-2.97629e-08,-1.68413e-11,2.93292e-05,-1.75975e-05,-1.14544e-10,0.61941,0.619408,0.619412,0.619414
0.026,-1.51831e-10,-2.53051e-10,-2.59098e-14,2.09861e-07,-1.25917e-07,-6.75507e-13,-2.24259e-08,-3.73765e-08,-2.59963e-11,3.28433e-05,-1.9706e-05,-1.07473e-10,0.61941,0.619409,0.619412,0.619414
0.028,-2.01887e-10,-3.36479e-10,-8.58255e-14,2.44272e-07,-1.46563e-07,-7.79302e-13,-2.77658e-08,-4.62763e-08,-3.39195e-11,3.5979e-05,-2.15875e-05,-1.00117e-10,0.61941,0.619409,0.619412,0.619413
0.03,-2.63458e-10,-4.39096e-10,-1.60833e-13,2.81642e-07,-1.68985e-07,-8.75462e-13,-3.39514e-08,-5.65856e-08,-4.10884e-11,3.876e-05,-2.32561e-05,-9.22025e-11,0.619411,0.619409,0.619412,0.619413
0.032,-3.38301e-10,-5.63834e-10,-2.48874e-13,3.21633e-07,-1.9298e-07,-9.64459e-13,-4.10483e-08,-6.84138e-08,-4.6952e-11,4.12218e-05,-2.47331e-05,-8.57906e-11,0.619411,0.619409,0.619411,0.619413
0.034,-4.28298e-10,-7.13829e-10,-3.47656e-13,3.63942e-07,-2.18365e-07,-1.04659e-12,-4.91147e-08,-8.18577e-08,-5.18305e-11,4.33966e-05,-2.6038e-05,-7.84785e-11,0.619411,0.61941,0.619411,0.619413
0.036,-5.3544e-10,-8.92399e-10,-4.55776e-13,4.08296e-07,-2.44978e-07,-1.1208e-12,-5.82017e-08,-9.70027e-08,-5.62905e-11,4.5312e-05,-2.71872e-05,-6.99415e-11,0.619411,0.61941,0.619411,0.619412
0.038,-6.61815e-10,-1.10302e-09,-5.72559e-13,4.54448e-07,-2.72669e-07,-1.18645e-12,-6.83546e-08,-1.13924e-07,-6.04921e-11,4.69909e-05,-2.81946e-05,-6.13525e-11,0.619411,0.61941,0.619411,0.619412
0.04,-8.09596e-10,-1.34932e-09,-6.97069e-13,5.0217e-07,-3.01302e-07,-1.24374e-12,-7.96131e-08,-1.32688e-07,-6.40185e-11,4.84532e-05,-2.90719e-05,-5.32313e-11,0.619411,0.61941,0.619411,0.619412
0.042,-9.81034e-10,-1.63506e-09,-8.9115e-13,5.52881e-07,-3.31729e-07,-1.36493e-12,-9.20243e-08,-1.53374e-07,-1.30063e-10,5.29692e-05,-3.17815e-05,-1.89144e-10,0.61941,0.619408,0.619412,0.619414
0.044,-1.17852e-09,-1.96421e-09,-1.2112e-12,6.08284e-07,-3.64971e-07,-1.54725e-12,-1.05684e-07,-1.7614e-07,-1.89985e-10,5.7837e-05,-3.47022e-05,-1.75496e-10,0.61941,0.619408,0.619412,0.619415
