t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,3.73177e-13,6.21962e-13,2.10298e-15,-9.51013e-08,5.70608e-08,2.10667e-13,7.46355e-10,1.24392e-09,2.1029e-12,-0.000190203,0.000114122,4.21334e-10,0.619445,0.619547,0.619377,0.619275
0.004,6.12308e-12,1.02051e-11,9.27407e-15,-4.19203e-07,2.51522e-07,1.14443e-12,6.27533e-09,1.04589e-08,5.06671e-12,-0.000458001,0.000274801,1.4462e-09,0.619459,0.619602,0.619363,0.61922
0.006,3.28075e-11,5.46792e-11,2.23258e-14,-1.04787e-06,6.28723e-07,3.42077e-12,2.2876e-08,3.81267e-08,7.9768e-12,-0.000799335,0.000479601,3.10648e-09,0.619472,0.619655,0.61935,0.619167
0.008,1.10312e-10,1.83854e-10,4.18097e-14,-2.05327e-06,1.23196e-06,7.67151e-12,5.85741e-08,9.76234e-08,1.14794e-11,-0.00121146,0.000726875,5.39499e-09,0.619485,0.619705,0.619337,0.619117
0.01,2.86255e-10,4.77093e-10,6.7772e-14,-3.50562e-06,2.10337e-06,1.45111e-11,1.23068e-07,2.05113e-07,1.44111e-11,-0.00169324,0.00101594,8.28418e-09,0.619497,0.619755,0.619325,0.619067
0.012,6.29299e-10,1.04883e-09,9.73509e-14,-5.47478e-06,3.28487e-06,2.45274e-11,2.27703e-07,3.79504e-07,1.50105e-11,-0.00224508,0.00134705,1.17485e-08,0.61951,0.619805,0.619313,0.619017
0.014,1.23245e-09,2.05408e-09,1.31649e-13,-8.03172e-06,4.81903e-06,3.82921e-11,3.85477e-07,6.42462e-07,1.89801e-11,-0.00286882,0.00172129,1.5781e-08,0.619522,0.619856,0.6193,0.618966
0.016,2.21638e-09,3.69397e-09,1.6579e-13,-1.125e-05,6.75e-06,5.63421e-11,6.1109e-07,1.01848e-06,1.46094e-11,-0.00356774,0.00214064,2.03189e-08,0.619536,0.61991,0.619286,0.618912
0.018,3.73296e-09,6.22161e-09,1.88582e-13,-1.52071e-05,9.12428e-06,7.91822e-11,9.21016e-07,1.53503e-06,7.25084e-12,-0.00434653,0.00260792,2.53614e-08,0.61955,0.619967,0.619272,0.618855
