t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-6.14692e-18,-1.03014e-17,-1.42109e-20,1.57514e-12,-9.39896e-13,-7.8767e-20,-1.22938e-14,-2.06029e-14,-1.42109e-17,3.15028e-09,-1.87979e-09,-1.57534e-16,0.619411,0.619411,0.619411,0.619411
0.004,-9.90587e-17,-1.66017e-16,3.19744e-20,6.48313e-12,-3.86783e-12,-2.09487e-19,-9.97666e-14,-1.67211e-13,6.03961e-17,6.66569e-09,-3.97608e-09,-1.03905e-16,0.619411,0.619411,0.619411,0.619411
0.006,-5.08649e-16,-8.52549e-16,3.6593e-19,1.47583e-11,-8.80355e-12,-1.24016e-19,-3.42103e-13,-5.73441e-13,2.73559e-16,9.88463e-09,-5.89537e-09,2.74846e-16,0.619411,0.619411,0.619411,0.619411
0.008,-1.62097e-15,-2.71716e-15,1.29319e-18,2.6068e-11,-1.55486e-11,5.07796e-19,-8.14336e-13,-1.36513e-12,6.53699e-16,1.27349e-08,-7.5948e-09,9.88777e-16,0.619411,0.619411,0.619411,0.619411
0.01,-3.96402e-15,-6.64513e-15,3.04112e-18,4.0061e-11,-2.38936e-11,1.96917e-18,-1.58329e-12,-2.65436e-12,1.09424e-15,1.52511e-08,-9.09509e-09,1.93398e-15,0.619411,0.619411,0.619411,0.619411
0.012,-8.19149e-15,-1.37326e-14,5.8229e-18,5.64258e-11,-3.36527e-11,4.54167e-18,-2.708e-12,-4.54014e-12,1.68754e-15,1.74785e-08,-1.04232e-08,3.21101e-15,0.619411,0.619411,0.619411,0.619411
0.014,-1.50682e-14,-2.52621e-14,9.91918e-18,7.4893e-11,-4.46655e-11,8.58225e-18,-4.24075e-12,-7.11015e-12,2.40874e-15,1.94559e-08,-1.16023e-08,4.87014e-15,0.619411,0.619411,0.619411,0.619411
0.016,-2.54576e-14,-4.26815e-14,1.55609e-17,9.52281e-11,-5.67919e-11,1.4349e-17,-6.22792e-12,-1.04422e-11,3.23297e-15,2.12142e-08,-1.26507e-08,6.66335e-15,0.619411,0.619411,0.619411,0.619411
0.018,-4.03104e-14,-6.75852e-14,2.28688e-17,1.17224e-10,-6.99088e-11,2.17447e-17,-8.71074e-12,-1.46054e-11,4.07496e-15,2.27781e-08,-1.35831e-08,8.12808e-15,0.619411,0.619411,0.619411,0.619411
0.02,-6.06555e-14,-1.01698e-13,3.18359e-17,1.40697e-10,-8.39062e-11,3.12001e-17,-1.17259e-11,-1.96612e-11,4.89209e-15,2.41675e-08,-1.44116e-08,1.07827e-14,0.619411,0.619411,0.619411,0.619411
0.022,-8.7596e-14,-1.46871e-13,4.26112e-17,1.66832e-10,-9.94942e-11,4.28995e-17,-1.53165e-11,-2.56821e-11,5.88329e-15,2.81014e-08,-1.67645e-08,1.26161e-14,0.619411,0.619411,0.619411,0.619411
0.024,-1.22361e-13,-2.05163e-13,5.55325e-17,1.97033e-10,-1.17516e-10,5.68731e-17,-1.9566e-11,-3.28074e-11,7.03793e-15,3.23014e-08,-1.92781e-08,1.53311e-14,0.619411,0.619411,0.619411,0.619411
0.026,-1.66364e-13,-2.78944e-13,7.12745e-17,2.31264e-10,-1.37949e-10,7.3384e-17,-2.45707e-11,-4.11979e-11,8.70415e-15,3.61599e-08,-2.15882e-08,1.76907e-14,0.619411,0.619411,0.619411,0.619411
0.028,-2.21207e-13,-3.70899e-13,9.01252e-17,2.69145e-10,-1.60568e-10,9.22445e-17,-3.04208e-11,-5.10047e-11,1.01466e-14,3.96025e-08,-2.36498e-08,2.00303e-14,0.619411,0.619411,0.619411,0.619411
0.03,-2.88665e-13,-4.83998e-13,1.11818e-16,3.10274e-10,-1.85132e-10,1.13059e-16,-3.71975e-11,-6.23629e-11,1.15463e-14,4.26553e-08,-2.54785e-08,2.15989e-14,0.619411,0.619411,0.619411,0.619411
0.032,-3.70663e-13,-6.21465e-13,1.37131e-16,3.5428e-10,-2.1142e-10,1.36399e-16,-4.49725e-11,-7.53926e-11,1.37668e-14,4.53575e-08,-2.70974e-08,2.50814e-14,0.619411,0.619411,0.619411,0.619411
0.034,-4.69263e-13,-7.86754e-13,1.66938e-16,4.00831e-10,-2.39232e-10,1.63418e-16,-5.38096e-11,-9.02001e-11,1.60405e-14,4.77445e-08,-2.85278e-08,2.89561e-14,0.619411,0.619411,0.619411,0.619411
0.036,-5.86647e-13,-9.83514e-13,2.01023e-16,4.49626e-10,-2.6839e-10,1.94097e-16,-6.37651e-11,-1.06879e-10,1.80442e-14,4.98464e-08,-2.97877e-08,3.24017e-14,0.619411,0.619411,0.619411,0.619411
0.038,-7.25102e-13,-1.21557e-12,2.39449e-16,5.00394e-10,-2.9873e-10,2.28659e-16,-7.48884e-11,-1.25513e-10,2.03819e-14,5.16886e-08,-3.08921e-08,3.67222e-14,0.619411,0.619411,0.619411,0.619411
0.04,-8.87008e-13,-1.48692e-12,2.828e-16,5.52885e-10,-3.30103e-10,2.67804e-16,-8.72229e-11,-1.46173e-10,2.29683e-14,5.32929e-08,-3.18541e-08,4.15688e-14,0.619411,0.619411,0.619411,0.619411
0.042,-1.07483e-12,-1.80167e-12,3.31351e-16,6.0866e-10,-3.63446e-10,3.11123e-16,-1.00821e-10,-1.68946e-10,2.55831e-14,5.82578e-08,-3.4831e-08,4.50681e-14,0.619411,0.619411,0.619411,0.619411
0.044,-1.2912e-12,-2.16422e-12,3.85473e-16,6.69593e-10,-3.9988e-10,3.58195e-16,-1.15787e-10,-1.94008e-10,2.85389e-14,6.36073e-08,-3.8038e-08,4.90768e-14,0.619411,0.619411,0.619411,0.619411
0.046,-1.53897e-12,-2.57936e-12,4.45961e-16,7.35662e-10,-4.39394e-10,4.09791e-16,-1.32244e-10,-2.21563e-10,3.19496e-14,6.85321e-08,-4.09898e-08,5.41146e-14,0.619411,0.619411,0.619411,0.619411
0.048,-1.82125e-12,-3.05227e-12,5.12777e-16,8.06388e-10,-4.81699e-10,4.66064e-16,-1.50307e-10,-2.51803e-10,3.48663e-14,7.29195e-08,-4.36189e-08,5.84317e-14,0.619411,0.619411,0.619411,0.619411
0.05,-2.14134e-12,-3.58848e-12,5.85771e-16,8.81244e-10,-5.26478e-10,5.2689e-16,-1.7008e-10,-2.84902e-10,3.81277e-14,7.67932e-08,-4.59398e-08,6.32214e-14,0.619411,0.619411,0.619411,0.619411
0.052,-2.50277e-12,-4.19388e-12,6.64897e-16,9.5974e-10,-5.73437e-10,5.93472e-16,-1.91653e-10,-3.21011e-10,4.09983e-14,8.01971e-08,-4.79791e-08,6.99417e-14,0.619411,0.619411,0.619411,0.619411
0.054,-2.90921e-12,-4.87462e-12,7.50344e-16,1.04142e-09,-6.22308e-10,6.67714e-16,-2.15108e-10,-3.60264e-10,4.4448e-14,8.31734e-08,-4.97621e-08,7.85424e-14,0.619411,0.619411,0.619411,0.619411
0.056,-3.3645e-12,-5.63711e-12,8.41812e-16,1.12589e-09,-6.72844e-10,7.49843e-16,-2.40514e-10,-4.02778e-10,4.70202e-14,8.57588e-08,-5.13107e-08,8.57152e-14,0.619411,0.619411,0.619411,0.619411
0.058,-3.87261e-12,-6.48798e-12,9.38844e-16,1.21276e-09,-7.24822e-10,8.37083e-16,-2.67932e-10,-4.48656e-10,5.00116e-14,8.79853e-08,-5.26444e-08,8.87653e-14,0.619411,0.619411,0.619411,0.619411
0.06,-4.4376e-12,-7.43404e-12,1.04249e-15,1.3017e-09,-7.78034e-10,9.27588e-16,-2.97414e-10,-4.97983e-10,5.36389e-14,8.98809e-08,-5.37799e-08,9.22445e-14,0.619411,0.619411,0.619411,0.619411
0.062,-5.06368e-12,-8.48228e-12,1.15439e-15,1.39463e-09,-8.33651e-10,1.02284e-15,-3.29023e-10,-5.50865e-10,5.8261e-14,9.5991e-08,-5.74549e-08,9.82576e-14,0.619411,0.619411,0.619411,0.619411
0.064,-5.7552e-12,-9.64001e-12,1.27287e-15,1.49392e-09,-8.93091e-10,1.12381e-15,-3.62889e-10,-6.07517e-10,6.02114e-14,1.02588e-07,-6.14251e-08,1.03677e-13,0.619411,0.619411,0.619411,0.619411
0.066,-6.51684e-12,-1.0915e-11,1.39843e-15,1.59955e-09,-9.56345e-10,1.23122e-15,-3.99163e-10,-6.68191e-10,6.53522e-14,1.08665e-07,-6.50815e-08,1.11142e-13,0.619411,0.619411,0.619411,0.619411
0.068,-7.35355e-12,-1.23156e-11,1.53518e-15,1.71091e-09,-1.02305e-09,1.34694e-15,-4.37988e-10,-7.33125e-10,7.13989e-14,1.14068e-07,-6.83325e-08,1.20316e-13,0.619411,0.619411,0.619411,0.619411
0.07,-8.27058e-12,-1.38505e-11,1.68235e-15,1.82736e-09,-1.09281e-09,1.46979e-15,-4.79492e-10,-8.0253e-10,7.57687e-14,1.18817e-07,-7.11898e-08,1.25384e-13,0.619411,0.619411,0.619411,0.619411
0.072,-9.27338e-12,-1.55288e-11,1.83997e-15,1.94824e-09,-1.16525e-09,1.59941e-15,-5.23787e-10,-8.76594e-10,8.18545e-14,1.2296e-07,-7.36829e-08,1.3385e-13,0.619411,0.619411,0.619411,0.619411
0.074,-1.03677e-11,-1.73601e-11,2.00818e-15,2.073e-09,-1.24001e-09,1.73869e-15,-5.70971e-10,-9.55479e-10,8.63523e-14,1.26546e-07,-7.58406e-08,1.44707e-13,0.619411,0.619411,0.619411,0.619411
