t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-2.80306e-15,-4.67178e-15,-8.77876e-18,7.14339e-10,-4.28602e-10,-6.49346e-15,-5.60611e-12,-9.34356e-12,-8.77876e-15,1.42868e-06,-8.57204e-07,-1.29869e-11,0.619411,0.61941,0.619411,0.619412
0.004,-4.51741e-14,-7.52905e-14,1.91278e-17,2.94024e-09,-1.76413e-09,-1.91202e-14,-4.54993e-11,-7.58325e-11,3.66853e-14,3.02311e-06,-1.81386e-06,-1.22665e-11,0.619411,0.61941,0.619411,0.619412
0.006,-2.31987e-13,-3.86647e-13,2.40592e-16,6.69341e-09,-4.01603e-09,-3.0996e-14,-1.56041e-10,-2.6007e-10,1.84778e-13,4.48323e-06,-2.68992e-06,-1.14851e-11,0.619411,0.61941,0.619411,0.619412
0.008,-7.3938e-13,-1.23231e-12,8.13941e-16,1.18231e-08,-7.09384e-09,-4.20749e-14,-3.7148e-10,-6.19136e-10,3.8857e-13,5.77621e-06,-3.46571e-06,-1.06728e-11,0.619411,0.61941,0.619411,0.619412
0.01,-1.80827e-12,-3.0138e-12,1.86407e-15,1.81701e-08,-1.0902e-08,-5.22525e-14,-7.22319e-10,-1.20387e-09,6.61562e-13,6.91776e-06,-4.15063e-06,-9.68241e-12,0.619411,0.61941,0.619411,0.619412
0.012,-3.73698e-12,-6.22833e-12,3.419e-15,2.55932e-08,-1.53558e-08,-6.15623e-14,-1.23552e-09,-2.0592e-09,8.93356e-13,7.92837e-06,-4.75699e-06,-8.93705e-12,0.619411,0.61941,0.619411,0.619412
0.014,-6.87455e-12,-1.14576e-11,5.47496e-15,3.39701e-08,-2.0382e-08,-7.00734e-14,-1.93493e-09,-3.2249e-09,1.1626e-12,8.82558e-06,-5.29531e-06,-8.08516e-12,0.619411,0.61941,0.619411,0.619412
0.016,-1.1615e-11,-1.93585e-11,8.08502e-15,4.31946e-08,-2.59166e-08,-7.77262e-14,-2.84174e-09,-4.73626e-09,1.44746e-12,9.62341e-06,-5.77401e-06,-7.22043e-12,0.619411,0.61941,0.619411,0.619412
0.018,-1.83924e-11,-3.06542e-11,1.12799e-14,5.31729e-08,-3.19035e-08,-8.44613e-14,-3.97478e-09,-6.62467e-09,1.74746e-12,1.03331e-05,-6.19979e-06,-6.24986e-12,0.619411,0.619411,0.619411,0.619412
0.02,-2.76762e-11,-4.61272e-11,1.50346e-14,6.38212e-08,-3.82925e-08,-9.02964e-14,-5.35079e-09,-8.91804e-09,2.00717e-12,1.09636e-05,-6.57808e-06,-5.42035e-12,0.619411,0.619411,0.619411,0.619412
0.022,-3.99699e-11,-6.66169e-11,1.62844e-14,7.56793e-08,-4.54073e-08,-1.07659e-13,-6.98947e-09,-1.16492e-08,-7.5735e-13,1.27526e-05,-7.65152e-06,-2.93039e-11,0.619411,0.61941,0.619411,0.619412
0.024,-5.58345e-11,-9.3058e-11,1.23506e-14,8.93879e-08,-5.36324e-08,-1.35684e-13,-8.92888e-09,-1.48815e-08,-3.1765e-12,1.46647e-05,-8.79873e-06,-2.67478e-11,0.619411,0.61941,0.619411,0.619412
0.026,-7.59153e-11,-1.26526e-10,3.58035e-15,1.04931e-07,-6.29582e-08,-1.61565e-13,-1.12129e-08,-1.86883e-08,-5.59376e-12,1.64218e-05,-9.85299e-06,-2.50142e-11,0.619411,0.61941,0.619411,0.619412
0.028,-1.00944e-10,-1.6824e-10,-9.68451e-15,1.22137e-07,-7.32816e-08,-1.8564e-13,-1.38829e-08,-2.31383e-08,-7.67114e-12,1.79896e-05,-1.07937e-05,-2.31356e-11,0.619411,0.61941,0.619411,0.619412
0.03,-1.31729e-10,-2.19549e-10,-2.6719e-14,1.40822e-07,-8.44924e-08,-2.07567e-13,-1.69757e-08,-2.8293e-08,-9.36343e-12,1.93801e-05,-1.1628e-05,-2.07183e-11,0.619411,0.61941,0.619411,0.619412
0.032,-1.6915e-10,-2.81919e-10,-4.7082e-14,1.60817e-07,-9.64897e-08,-2.27229e-13,-2.05241e-08,-3.42071e-08,-1.09996e-11,2.0611e-05,-1.23665e-05,-1.86054e-11,0.619411,0.61941,0.619411,0.619412
0.034,-2.14149e-10,-3.56917e-10,-7.01026e-14,1.81972e-07,-1.09182e-07,-2.45003e-13,-2.45573e-08,-4.09291e-08,-1.2021e-11,2.16985e-05,-1.3019e-05,-1.69433e-11,0.619411,0.61941,0.619411,0.619412
0.036,-2.6772e-10,-4.46202e-10,-9.49239e-14,2.04149e-07,-1.22489e-07,-2.60594e-13,-2.91008e-08,-4.85017e-08,-1.28004e-11,2.26562e-05,-1.35936e-05,-1.42381e-11,0.619411,0.61941,0.619411,0.619412
0.038,-3.30907e-10,-5.51516e-10,-1.21227e-13,2.27225e-07,-1.36334e-07,-2.73495e-13,-3.41773e-08,-5.69625e-08,-1.35028e-11,2.34956e-05,-1.40973e-05,-1.15634e-11,0.619411,0.61941,0.619411,0.619412
0.04,-4.04797e-10,-6.74666e-10,-1.48856e-13,2.51086e-07,-1.50651e-07,-2.83659e-13,-3.98065e-08,-6.63446e-08,-1.41262e-11,2.42268e-05,-1.45359e-05,-8.76478e-12,0.619411,0.619411,0.619411,0.619412
0.042,-4.90516e-10,-8.17533e-10,-1.93039e-13,2.76442e-07,-1.65864e-07,-3.08877e-13,-4.60121e-08,-7.66873e-08,-3.00574e-11,2.64848e-05,-1.58908e-05,-4.16718e-11,0.619411,0.619409,0.619411,0.619413
0.044,-5.89262e-10,-9.82109e-10,-2.67897e-13,3.04144e-07,-1.82485e-07,-3.4826e-13,-5.28419e-08,-8.80704e-08,-4.48004e-11,2.89187e-05,-1.73511e-05,-3.70934e-11,0.619411,0.619409,0.619411,0.619413
0.046,-7.02337e-10,-1.17057e-09,-3.70591e-13,3.34183e-07,-2.00508e-07,-3.83944e-13,-6.03518e-08,-1.00587e-07,-5.78934e-11,3.11593e-05,-1.86954e-05,-3.42743e-11,0.619411,0.619409,0.619411,0.619413
0.048,-8.31158e-10,-1.38527e-09,-4.98164e-13,3.6634e-07,-2.19803e-07,-4.16645e-13,-6.85944e-08,-1.14325e-07,-6.96802e-11,3.31551e-05,-1.98929e-05,-3.11284e-11,0.619411,0.61941,0.619411,0.619412
0.05,-9.77235e-10,-1.62874e-09,-6.48372e-13,4.00376e-07,-2.40224e-07,-4.46268e-13,-7.76167e-08,-1.29362e-07,-8.05276e-11,3.49171e-05,-2.09501e-05,-2.81178e-11,0.619411,0.61941,0.619411,0.619412
0.052,-1.14217e-09,-1.90363e-09,-8.1891e-13,4.36068e-07,-2.61639e-07,-4.72233e-13,-8.74602e-08,-1.45768e-07,-9.00107e-11,3.64653e-05,-2.1879e-05,-2.38115e-11,0.619411,0.61941,0.619411,0.619412
0.054,-1.32765e-09,-2.21276e-09,-1.00839e-12,4.7321e-07,-2.83924e-07,-4.94379e-13,-9.81615e-08,-1.63604e-07,-9.94727e-11,3.78189e-05,-2.26912e-05,-2.04803e-11,0.619411,0.61941,0.619411,0.619412
0.056,-1.53541e-09,-2.55904e-09,-1.21573e-12,5.11616e-07,-3.06968e-07,-5.12765e-13,-1.09752e-07,-1.82922e-07,-1.07868e-10,3.89947e-05,-2.33966e-05,-1.62927e-11,0.619411,0.61941,0.619411,0.619412
0.058,-1.76727e-09,-2.94547e-09,-1.43941e-12,5.51117e-07,-3.30668e-07,-5.27193e-13,-1.22261e-07,-2.0377e-07,-1.15806e-10,4.00072e-05,-2.40041e-05,-1.2562e-11,0.619411,0.61941,0.619411,0.619412
0.06,-2.02508e-09,-3.37516e-09,-1.67773e-12,5.91556e-07,-3.54931e-07,-5.37737e-13,-1.35711e-07,-2.26186e-07,-1.22522e-10,4.08693e-05,-2.45214e-05,-8.52604e-12,0.619411,0.61941,0.619411,0.619412
0.062,-2.31076e-09,-3.85129e-09,-1.97358e-12,6.33814e-07,-3.80286e-07,-5.66722e-13,-1.5013e-07,-2.50219e-07,-1.7332e-10,4.3648e-05,-2.61886e-05,-4.94446e-11,0.619411,0.619409,0.619412,0.619413
0.064,-2.62629e-09,-4.37718e-09,-2.36768e-12,6.78963e-07,-4.07375e-07,-6.13388e-13,-1.65578e-07,-2.75966e-07,-2.20786e-10,4.66502e-05,-2.79899e-05,-4.3887e-11,0.619411,0.619409,0.619412,0.619413
0.066,-2.9738e-09,-4.95637e-09,-2.85284e-12,7.26996e-07,-4.36194e-07,-6.54522e-13,-1.82124e-07,-3.03541e-07,-2.6437e-10,4.94155e-05,-2.9649e-05,-3.83808e-11,0.619411,0.619409,0.619412,0.619413
0.068,-3.35556e-09,-5.59263e-09,-3.42159e-12,7.77641e-07,-4.66581e-07,-6.90268e-13,-1.99831e-07,-3.33054e-07,-3.04388e-10,5.18741e-05,-3.11242e-05,-3.31119e-11,0.619411,0.619409,0.619411,0.619413
0.07,-3.77394e-09,-6.28994e-09,-4.06653e-12,8.30595e-07,-4.98353e-07,-7.20821e-13,-2.18759e-07,-3.64601e-07,-3.40553e-10,5.40349e-05,-3.24206e-05,-2.7995e-11,0.619411,0.61941,0.619411,0.619413
0.072,-4.23144e-09,-7.05245e-09,-4.78141e-12,8.85573e-07,-5.3134e-07,-7.46045e-13,-2.38958e-07,-3.98266e-07,-3.7432e-10,5.592e-05,-3.35517e-05,-2.24534e-11,0.619411,0.61941,0.619411,0.619412
0.074,-4.73065e-09,-7.88447e-09,-5.5612e-12,9.42309e-07,-5.65381e-07,-7.6555e-13,-2.60472e-07,-4.34124e-07,-4.05471e-10,5.75513e-05,-3.45305e-05,-1.65557e-11,0.619411,0.61941,0.619411,0.619412
0.076,-5.27423e-09,-8.79045e-09,-6.40052e-12,1.00056e-06,-6.0033e-07,-7.78094e-13,-2.83341e-07,-4.72238e-07,-4.33849e-10,5.8949e-05,-3.53691e-05,-8.53299e-12,0.619411,0.61941,0.619411,0.619412
0.078,-5.86494e-09,-9.77496e-09,-7.296e-12,1.0601e-06,-6.36054e-07,-7.84955e-13,-3.07596e-07,-5.12664e-07,-4.61631e-10,6.01307e-05,-3.60781e-05,-5.18788e-12,0.619411,0.61941,0.619411,0.619412
0.08,-6.50556e-09,-1.08427e-08,-8.2457e-12,1.12072e-06,-6.72427e-07,-7.86551e-13,-3.33267e-07,-5.55449e-07,-4.88076e-10,6.11125e-05,-3.66671e-05,1.99577e-12,0.619411,0.61941,0.619411,0.619412
0.082,-7.19897e-09,-1.19984e-08,-9.34244e-12,1.18349e-06,-7.10087e-07,-8.08141e-13,-3.60385e-07,-6.00647e-07,-6.08659e-10,6.4423e-05,-3.86535e-05,-4.51758e-11,0.61941,0.619409,0.619412,0.619413
0.084,-7.94811e-09,-1.3247e-08,-1.06736e-11,1.2497e-06,-7.49814e-07,-8.50642e-13,-3.89021e-07,-6.48374e-07,-7.22548e-10,6.80019e-05,-4.08008e-05,-3.98278e-11,0.61941,0.619408,0.619412,0.619414
0.086,-8.75612e-09,-1.45936e-08,-1.22247e-11,1.31935e-06,-7.91604e-07,-8.87457e-13,-4.19258e-07,-6.98768e-07,-8.28489e-10,7.12975e-05,-4.27782e-05,-3.3801e-11,0.61941,0.619409,0.619412,0.619413
0.088,-9.62626e-09,-1.60439e-08,-1.39806e-11,1.39211e-06,-8.35259e-07,-9.18759e-13,-4.51171e-07,-7.51957e-07,-9.27458e-10,7.42206e-05,-4.45321e-05,-2.88028e-11,0.619411,0.619409,0.619412,0.619413
0.09,-1.0562e-08,-1.76034e-08,-1.59278e-11,1.46761e-06,-8.80558e-07,-9.43735e-13,-4.8483e-07,-8.08057e-07,-1.01972e-09,7.67769e-05,-4.60659e-05,-2.11486e-11,0.619411,0.619409,0.619412,0.619413
0.092,-1.15668e-08,-1.92781e-08,-1.80525e-11,1.54549e-06,-9.27288e-07,-9.60609e-13,-5.20296e-07,-8.67166e-07,-1.10502e-09,7.89899e-05,-4.73937e-05,-1.25992e-11,0.619411,0.619409,0.619411,0.619413
0.094,-1.26444e-08,-2.10741e-08,-2.03454e-11,1.62543e-06,-9.7525e-07,-9.707e-13,-5.5762e-07,-9.29374e-07,-1.18788e-09,8.08839e-05,-4.85301e-05,-7.58358e-12,0.619411,0.61941,0.619411,0.619412
0.096,-1.37985e-08,-2.29977e-08,-2.27983e-11,1.70711e-06,-1.02426e-06,-9.73407e-13,-5.96847e-07,-9.94753e-07,-1.26499e-09,8.24821e-05,-4.9489e-05,2.16997e-12,0.619411,0.61941,0.619411,0.619412
0.098,-1.50331e-08,-2.50553e-08,-2.54018e-11,1.79025e-06,-1.07415e-06,-9.67155e-13,-6.38015e-07,-1.06337e-06,-1.33848e-09,8.38055e-05,-5.0283e-05,1.03349e-11,0.619411,0.61941,0.619411,0.619412
0.1,-1.63519e-08,-2.72534e-08,-2.81505e-11,1.87459e-06,-1.12475e-06,-9.53571e-13,-6.81155e-07,-1.13527e-06,-1.41024e-09,8.48734e-05,-5.09238e-05,1.68343e-11,0.619411,0.61941,0.619411,0.619412
0.102,-1.7759e-08,-2.95986e-08,-3.12145e-11,1.96138e-06,-1.17682e-06,-9.6109e-13,-7.26305e-07,-1.21052e-06,-1.65381e-09,8.87019e-05,-5.32209e-05,-3.18724e-11,0.61941,0.619408,0.619412,0.619414
0.104,-1.92585e-08,-3.20978e-08,-3.47549e-11,2.05215e-06,-1.23128e-06,-9.89194e-13,-7.73544e-07,-1.28925e-06,-1.8866e-09,9.28411e-05,-5.57044e-05,-2.43355e-11,0.61941,0.619408,0.619412,0.619414
0.106,-2.08547e-08,-3.4758e-08,-3.87468e-11,2.1469e-06,-1.28813e-06,-1.01246e-12,-8.22967e-07,-1.37162e-06,-2.10523e-09,9.66495e-05,-5.79895e-05,-2.21896e-11,0.61941,0.619408,0.619412,0.619414
0.108,-2.25519e-08,-3.75868e-08,-4.31625e-11,2.24523e-06,-1.34713e-06,-1.0307e-12,-8.74664e-07,-1.45778e-06,-2.31048e-09,0.000100017,-6.00099e-05,-1.4296e-11,0.61941,0.619409,0.619412,0.619413
0.11,-2.43549e-08,-4.05918e-08,-4.79771e-11,2.34671e-06,-1.40802e-06,-1.04093e-12,-9.28714e-07,-1.54787e-06,-2.50412e-09,0.000102945,-6.17667e-05,-6.15393e-12,0.619411,0.619409,0.619412,0.619413
0.112,-2.62684e-08,-4.3781e-08,-5.31712e-11,2.45091e-06,-1.47054e-06,-1.04324e-12,-9.85187e-07,-1.64199e-06,-2.69005e-09,0.000105457,-6.3274e-05,1.52594e-12,0.619411,0.619409,0.619411,0.619413
0.114,-2.82973e-08,-4.71625e-08,-5.87291e-11,2.55743e-06,-1.53445e-06,-1.03621e-12,-1.04414e-06,-1.74025e-06,-2.86783e-09,0.00010758,-6.45479e-05,1.25377e-11,0.619411,0.61941,0.619411,0.619413
0.116,-3.04466e-08,-5.07448e-08,-6.46358e-11,2.66589e-06,-1.59953e-06,-1.02012e-12,-1.10563e-06,-1.84272e-06,-3.03888e-09,0.00010934,-6.5604e-05,1.96332e-11,0.619411,0.61941,0.619411,0.619412
0.118,-3.27215e-08,-5.45363e-08,-7.08796e-11,2.77594e-06,-1.66556e-06,-9.97381e-13,-1.16968e-06,-1.94949e-06,-3.20492e-09,0.000110762,-6.64568e-05,2.58557e-11,0.619411,0.61941,0.619411,0.619412
0.12,-3.51271e-08,-5.85456e-08,-7.74464e-11,2.88726e-06,-1.73234e-06,-9.66036e-13,-1.23635e-06,-2.0606e-06,-3.36187e-09,0.000111867,-6.71202e-05,3.68362e-11,0.619411,0.61941,0.619411,0.619412
0.122,-3.76687e-08,-6.27816e-08,-8.46131e-11,3.00128e-06,-1.80076e-06,-9.4991e-13,-1.30566e-06,-2.17611e-06,-3.8049e-09,0.00011618,-6.9708e-05,-4.5834e-12,0.61941,0.619408,0.619412,0.619414
0.124,-4.03516e-08,-6.72531e-08,-9.26544e-11,3.11979e-06,-1.87187e-06,-9.52081e-13,-1.37771e-06,-2.29619e-06,-4.23638e-09,0.000120844,-7.25064e-05,2.44104e-13,0.61941,0.619408,0.619412,0.619414
0.126,-4.31814e-08,-7.19695e-08,-1.01535e-10,3.24278e-06,-1.94566e-06,-9.4809e-13,-1.4526e-06,-2.42101e-06,-4.64381e-09,0.00012513,-7.50777e-05,7.73798e-12,0.61941,0.619408,0.619412,0.619414
0.128,-4.61639e-08,-7.69404e-08,-1.11209e-10,3.3698e-06,-2.02187e-06,-9.3487e-13,-1.53043e-06,-2.55074e-06,-5.03095e-09,0.000128904,-7.73423e-05,1.87047e-11,0.61941,0.619408,0.619412,0.619414
0.13,-4.93051e-08,-8.21758e-08,-1.21642e-10,3.50033e-06,-2.10019e-06,-9.10549e-13,-1.6113e-06,-2.68552e-06,-5.40151e-09,0.000132164,-7.92981e-05,2.99378e-11,0.61941,0.619409,0.619412,0.619413
0.132,-5.26112e-08,-8.7686e-08,-1.328e-10,3.63388e-06,-2.18032e-06,-8.74494e-13,-1.69528e-06,-2.82549e-06,-5.75647e-09,0.000134932,-8.09591e-05,4.21732e-11,0.619411,0.619409,0.619412,0.619413
0.134,-5.60884e-08,-9.34813e-08,-1.44655e-10,3.76996e-06,-2.26197e-06,-8.27201e-13,-1.78243e-06,-2.97074e-06,-6.09903e-09,0.000137237,-8.2342e-05,5.24146e-11,0.619411,0.619409,0.619411,0.619413
0.136,-5.97431e-08,-9.95725e-08,-1.57185e-10,3.90814e-06,-2.34487e-06,-7.69995e-13,-1.87282e-06,-3.12138e-06,-6.43082e-09,0.000139108,-8.34645e-05,6.19981e-11,0.619411,0.61941,0.619411,0.619412
