t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-7.1285e-15,-1.18808e-14,-2.34053e-17,1.81664e-09,-1.08998e-09,-1.8108e-14,-1.4257e-11,-2.37616e-11,-2.34053e-14,3.63328e-06,-2.17997e-06,-3.6216e-11,0.61941,0.619408,0.619412,0.619414
0.004,-1.2458e-13,-2.07633e-13,-2.40366e-16,9.94847e-09,-5.96908e-09,-9.56687e-14,-1.35104e-10,-2.25173e-10,-1.93556e-13,1.26304e-05,-7.57823e-06,-1.18905e-10,0.619409,0.619405,0.619413,0.619417
0.006,-7.64122e-13,-1.27354e-12,-1.3441e-15,3.17493e-08,-1.90496e-08,-2.91442e-13,-5.89985e-10,-9.83309e-10,-9.10188e-13,3.09713e-05,-1.85828e-05,-2.72642e-10,0.619408,0.619398,0.619414,0.619424
0.008,-3.00037e-12,-5.00061e-12,-6.08865e-15,7.94658e-08,-4.76795e-08,-6.99265e-13,-1.8335e-09,-3.05584e-09,-3.83441e-12,6.44616e-05,-3.8677e-05,-5.43004e-10,0.619405,0.619387,0.619417,0.619435
0.01,-9.15442e-12,-1.52574e-11,-1.96926e-14,1.72014e-07,-1.03208e-07,-1.47323e-12,-4.68371e-09,-7.80618e-09,-9.76978e-12,0.000120635,-7.23809e-05,-1.00493e-09,0.619401,0.619371,0.619421,0.619451
0.012,-2.36914e-11,-3.94857e-11,-5.18961e-14,3.36716e-07,-2.02029e-07,-2.87048e-12,-1.04996e-08,-1.74993e-08,-2.24345e-11,0.000208769,-0.000125261,-1.78955e-09,0.619395,0.619348,0.619427,0.619474
0.014,-5.45139e-11,-9.08565e-11,-1.21118e-13,6.11061e-07,-3.66637e-07,-5.32498e-12,-2.13995e-08,-3.56658e-08,-4.67894e-11,0.000339921,-0.000203953,-3.11946e-09,0.619388,0.619317,0.619434,0.619505
0.016,-1.14734e-10,-1.91224e-10,-2.57363e-13,1.0445e-06,-6.26699e-07,-9.5744e-12,-4.05218e-08,-6.75363e-08,-8.9462e-11,0.000526954,-0.000316172,-5.37937e-09,0.619378,0.619277,0.619444,0.619545
0.018,-2.2501e-10,-3.75017e-10,-5.01506e-13,1.70024e-06,-1.02014e-06,-1.68702e-11,-7.23275e-08,-1.20546e-07,-1.54697e-10,0.000784529,-0.000470717,-9.21223e-09,0.619365,0.619227,0.619457,0.619595
0.02,-4.16529e-10,-6.94215e-10,-9.11887e-13,2.65703e-06,-1.59422e-06,-2.93482e-11,-1.22945e-07,-2.04909e-07,-2.5572e-10,0.00112906,-0.000677433,-1.57437e-08,0.61935,0.619165,0.619473,0.619657
0.022,-7.34719e-10,-1.22453e-09,-1.58695e-12,4.01083e-06,-2.4065e-06,-5.06963e-11,-2.00558e-07,-3.34263e-07,-4.19422e-10,0.00157854,-0.000947123,-2.69525e-08,0.619331,0.61909,0.619491,0.619732
0.024,-1.24378e-09,-2.07297e-09,-2.65077e-12,5.8762e-06,-3.52572e-06,-8.72338e-11,-3.15822e-07,-5.2637e-07,-6.44559e-10,0.00215221,-0.00129133,-4.61224e-08,0.619309,0.619001,0.619514,0.61982
0.026,-2.03207e-09,-3.38679e-09,-4.21951e-12,8.3871e-06,-5.03226e-06,-1.4978e-10,-4.82322e-07,-8.0387e-07,-9.24509e-10,0.00286958,-0.00172175,-7.89699e-08,0.619283,0.618898,0.619539,0.619923
0.028,-3.21842e-09,-5.36404e-09,-6.49505e-12,1.16959e-05,-7.01752e-06,-2.56999e-10,-7.17016e-07,-1.19503e-06,-1.35162e-09,0.00374797,-0.00224878,-1.35469e-07,0.619255,0.618783,0.619568,0.620038
0.03,-4.95929e-09,-8.26549e-09,-9.74703e-12,1.59676e-05,-9.58056e-06,-4.40898e-10,-1.04061e-06,-1.73436e-06,-1.90142e-09,0.00479547,-0.00287728,-2.32328e-07,0.619225,0.618662,0.619599,0.620158
0.032,-7.45644e-09,-1.24274e-08,-1.42293e-11,2.13608e-05,-1.28165e-05,-7.56252e-10,-1.4777e-06,-2.46283e-06,-2.58265e-09,0.00599091,-0.00359455,-3.98379e-07,0.619199,0.618556,0.619626,0.620263
0.034,-1.09642e-08,-1.82737e-08,-2.04035e-11,2.79692e-05,-1.67815e-05,-1.2968e-09,-2.05599e-06,-3.42665e-06,-3.59442e-09,0.00722592,-0.00433555,-6.82719e-07,0.619193,0.618526,0.619634,0.62029
0.036,-1.57932e-08,-2.6322e-08,-2.89919e-11,3.56514e-05,-2.13909e-05,-2.22241e-09,-2.80314e-06,-4.6719e-06,-4.99839e-09,0.00813856,-0.00488313,-1.1685e-06,0.619253,0.618754,0.619579,0.620058
0.038,-2.23017e-08,-3.71696e-08,-4.06079e-11,4.35408e-05,-2.61245e-05,-3.80476e-09,-3.73637e-06,-6.22728e-06,-6.62307e-09,0.00764014,-0.00458408,-1.99621e-06,0.619508,0.619758,0.619331,0.619047
0.04,-3.08588e-08,-5.14314e-08,-5.60044e-11,5.0998e-05,-3.05988e-05,-5.67348e-09,-4.85e-06,-8.08333e-06,-8.77971e-09,0.00727425,-0.00436454,-1.74122e-06,0.619474,0.619675,0.619343,0.619152
0.042,-4.1816e-08,-6.96933e-08,-7.62422e-11,5.81128e-05,-3.48676e-05,-7.25442e-09,-6.13507e-06,-1.02251e-05,-1.1465e-08,0.00695536,-0.0041732,-1.42066e-06,0.619465,0.619642,0.619351,0.619187
0.044,-5.55083e-08,-9.25139e-08,-1.02381e-10,6.4922e-05,-3.89532e-05,-8.48683e-09,-7.58401e-06,-1.264e-05,-1.46808e-08,0.00666311,-0.00399785,-1.04417e-06,0.619459,0.619623,0.619355,0.619206
0.046,-7.22566e-08,-1.20428e-07,-1.35372e-10,7.1448e-05,-4.28687e-05,-9.31626e-09,-9.18989e-06,-1.53165e-05,-1.83182e-08,0.00638879,-0.00383326,-6.1468e-07,0.619456,0.619611,0.619358,0.619219
0.048,-9.23682e-08,-1.53947e-07,-1.76085e-10,7.77061e-05,-4.66236e-05,-9.69078e-09,-1.09462e-05,-1.82438e-05,-2.24038e-08,0.00612744,-0.00367645,-1.34362e-07,0.619453,0.619602,0.619359,0.619229
0.05,-1.16138e-07,-1.93563e-07,-2.25308e-10,8.37077e-05,-5.02245e-05,-9.56079e-09,-1.28469e-05,-2.14115e-05,-2.68274e-08,0.00587575,-0.00352543,3.94347e-07,0.61945,0.619596,0.619361,0.619237
0.052,-1.43848e-07,-2.39747e-07,-2.83829e-10,8.94612e-05,-5.36766e-05,-8.87915e-09,-1.48859e-05,-2.48099e-05,-3.17023e-08,0.00563134,-0.00337879,9.68931e-07,0.619449,0.619591,0.619361,0.619242
0.054,-1.7577e-07,-2.9295e-07,-3.52489e-10,9.49731e-05,-5.69838e-05,-7.60108e-09,-1.70575e-05,-2.84293e-05,-3.69667e-08,0.00539251,-0.00323549,1.5872e-06,0.619447,0.619588,0.619362,0.619247
0.056,-2.12163e-07,-3.53605e-07,-4.31929e-10,0.000100248,-6.01489e-05,-5.68387e-09,-1.93561e-05,-3.22603e-05,-4.24828e-08,0.005158,-0.00309479,2.24722e-06,0.619446,0.619585,0.619362,0.61925
0.058,-2.53275e-07,-4.22126e-07,-5.22584e-10,0.000105291,-6.31744e-05,-3.08683e-09,-2.17762e-05,-3.62937e-05,-4.81809e-08,0.00492685,-0.0029561,2.94686e-06,0.619445,0.619583,0.619362,0.619253
0.06,-2.99345e-07,-4.98909e-07,-6.24903e-10,0.000110103,-6.60619e-05,2.28657e-10,-2.43123e-05,-4.05205e-05,-5.41479e-08,0.00469835,-0.00281899,3.68412e-06,0.619444,0.619582,0.619363,0.619255
0.062,-3.50598e-07,-5.84331e-07,-7.39452e-10,0.000114689,-6.8813e-05,4.29924e-09,-2.6959e-05,-4.49317e-05,-6.04098e-08,0.00447193,-0.00268315,4.45705e-06,0.619443,0.61958,0.619363,0.619257
0.064,-4.07251e-07,-6.78752e-07,-8.66685e-10,0.000119048,-7.14287e-05,9.15975e-09,-2.97109e-05,-4.95183e-05,-6.68325e-08,0.00424717,-0.00254829,5.26397e-06,0.619443,0.61958,0.619362,0.619259
0.066,-4.69509e-07,-7.82515e-07,-1.00703e-09,0.000123184,-7.391e-05,1.48432e-08,-3.25629e-05,-5.42716e-05,-7.35246e-08,0.00402372,-0.00241422,6.10293e-06,0.619442,0.619579,0.619362,0.61926
0.068,-5.37566e-07,-8.95944e-07,-1.16098e-09,0.000127096,-7.62574e-05,2.13809e-08,-3.55096e-05,-5.91828e-05,-8.0435e-08,0.00380129,-0.00228077,6.97249e-06,0.619442,0.619579,0.619362,0.619261
0.07,-6.11607e-07,-1.01935e-06,-1.32885e-09,0.000130787,-7.84717e-05,2.88027e-08,-3.85459e-05,-6.42432e-05,-8.74377e-08,0.00357966,-0.00214779,7.87101e-06,0.619441,0.619578,0.619362,0.619262
0.072,-6.91805e-07,-1.15301e-06,-1.51081e-09,0.000134256,-8.05532e-05,3.71368e-08,-4.16664e-05,-6.94441e-05,-9.4534e-08,0.00335862,-0.00201517,8.79728e-06,0.619441,0.619578,0.619362,0.619263
0.074,-7.78325e-07,-1.29721e-06,-1.70704e-09,0.000137504,-8.25022e-05,4.64102e-08,-4.48659e-05,-7.47767e-05,-1.01701e-07,0.00313802,-0.00188281,9.74948e-06,0.61944,0.619578,0.619362,0.619263
0.076,-8.71318e-07,-1.4522e-06,-1.91766e-09,0.000140532,-8.43189e-05,5.66481e-08,-4.81394e-05,-8.02325e-05,-1.08925e-07,0.00291772,-0.00175062,1.07263e-05,0.61944,0.619578,0.619362,0.619264
