t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,primal_residual,dual_residual
0.023,5.23272e-07,6.99878e-10,-0.000146101,-7.69412e-07,0.000614696,8.51467e-05,8.94461e-05,1.29108e-07,-0.0123775,9.68531e-07,0.0984221,0.0138009,0.629954,0.616222,0.626029,0.619952,0,0
0.024,6.18509e-07,8.36525e-10,-0.000158721,-7.58954e-07,0.000664619,9.21555e-05,0.000101181,1.44177e-07,-0.0128614,4.06291e-05,0.101267,0.0142344,0.630759,0.616053,0.626552,0.620064,0,0
0.025,7.25943e-07,9.88159e-10,-0.000171821,-7.2718e-07,0.000715925,9.93768e-05,0.000113843,1.59017e-07,-0.0133394,8.6175e-05,0.103959,0.0146511,0.631577,0.615891,0.627085,0.620185,0,0
0.026,8.46514e-07,1.15435e-09,-0.000185397,-6.71132e-07,0.00076854,0.000106802,0.000127458,1.73222e-07,-0.0138113,0.00013766,0.106499,0.0150506,0.632407,0.615735,0.627628,0.620315,0,0
0.027,9.81186e-07,1.33424e-09,-0.000199441,-5.87829e-07,0.000822385,0.000114423,0.000142049,1.86334e-07,-0.014277,0.000195124,0.108884,0.0154332,0.633247,0.615586,0.628179,0.620453,0,0
0.028,1.13095e-06,1.52648e-09,-0.000213948,-4.74275e-07,0.000877385,0.000122231,0.000157637,1.97838e-07,-0.0147365,0.000258575,0.111116,0.0157986,0.634096,0.615444,0.628738,0.620601,0,0
0.029,1.2968e-06,1.72919e-09,-0.000228911,-3.27479e-07,0.000933462,0.000130217,0.000174243,2.07165e-07,-0.0151897,0.00032799,0.113192,0.0161471,0.634952,0.615311,0.629303,0.620757,0,0
0.03,1.47978e-06,1.93988e-09,-0.000244324,-1.44475e-07,0.000990539,0.000138373,0.000191887,2.13692e-07,-0.0156363,0.000403296,0.115114,0.0164787,0.635813,0.615187,0.629874,0.620921,0,0
0.031,1.68093e-06,2.15542e-09,-0.000260181,7.76676e-08,0.00104854,0.000146691,0.000210585,2.1674e-07,-0.0160765,0.000484412,0.116882,0.0167935,0.636679,0.615072,0.63045,0.621095,0,0
0.032,1.90131e-06,2.37196e-09,-0.000276474,3.4183e-07,0.00110738,0.000155162,0.000230355,2.15577e-07,-0.01651,0.000571231,0.118496,0.0170916,0.637549,0.614968,0.631031,0.621277,0,0
