horizon,sample_idx,admm_iters,cycles_total,total_us,per_iter_us
10,0,10,94601,946.01,94.601
20,0,10,177801,1778.01,177.801
30,0,10,261001,2610.01,261.00100000000003
40,0,10,344201,3442.01,344.201
50,0,10,427401,4274.01,427.401
60,0,10,510601,5106.01,510.601
70,0,10,593801,5938.01,593.801
80,0,10,677001,6770.01,677.001
