horizon,admm_iters,board,slice_luts_used,slice_luts_avail,slice_luts_util_pct,lut_as_mem_used,lut_as_mem_avail,lut_as_mem_util_pct,bram_tile_used,bram_tile_avail,bram_tile_util_pct,dsps_used,dsps_avail,dsps_util_pct,hls_target_clk_ns,hls_est_clk_ns,hls_uncertainty_ns,hls_est_fmax_mhz,synth_wns_ns,synth_tns_ns,synth_clk_period_ns,synth_clk_freq_mhz,synth_fmax_est_mhz,route_wns_ns,route_tns_ns,route_clk_period_ns,route_clk_freq_mhz,route_fmax_est_mhz,route_power_total_w,route_power_dynamic_w,route_power_static_w,hls_latency_cycles,est_solve_us_cfg_clk,est_solve_us_route_fmax,throughput_cfg_sps,throughput_route_fmax_sps,throughput_per_lut_cfg,throughput_per_dsp_cfg,throughput_per_bram_cfg,throughput_per_lutram_cfg,energy_per_solve_cfg_uj,energy_per_solve_route_fmax_uj,energy_per_iter_cfg_nj
20,10,custom,6530,63400,10.3,265,19000,1.39,42,135,31.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,-0.039,-3.277,10.0,100.0,99.61151509114454,0.276,0.176,0.1,67494,674.94,677.572266,1481.613180430853,1475.8573368172658,0.2268932894993649,20.021799735552065,35.276504295972686,5.590993133701332,186.28344000000004,187.00994541600002,18628.344000000005
20,15,custom,6522,63400,10.29,265,19000,1.39,42,135,31.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,0.174,0.0,10.0,100.0,101.7708121310808,0.28,0.18,0.1,101229,1012.29,994.676154,987.8592103053473,1005.3523410394334,0.15146568695267515,13.349448787910099,23.520457388222557,3.7277706049258392,283.44120000000004,278.50932312000003,18896.08
20,20,custom,6535,63400,10.31,265,19000,1.39,42,135,31.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.003,-0.154,10.0,100.0,99.97000899730081,0.13,0.0,10.0,100.0,101.31712259371835,0.253,0.153,0.1,134964,1349.64,1332.09468,740.9383242938857,750.6973903686786,0.11338000371750355,10.012680058025483,17.641388673663943,2.7959936765807005,341.45892000000003,337.01995403999996,17072.946000000004
20,25,custom,6539,63400,10.31,265,19000,1.39,42,135,31.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.003,-0.154,10.0,100.0,99.97000899730081,0.445,0.0,10.0,100.0,104.65724751439038,0.265,0.165,0.1,168699,1686.99,1611.918945,592.7717413855447,620.3785885772315,0.09065174206844238,8.010428937642496,14.113612890132018,2.2368744957945084,447.05235000000005,427.158520425,17882.094
20,30,custom,6582,63400,10.38,265,19000,1.39,42,135,31.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.003,-0.154,10.0,100.0,99.97000899730081,-0.322,-15.464,10.0,100.0,96.88044952528581,0.266,0.166,0.1,202434,2024.34,2089.5237479999996,493.98816404358956,478.5779539271358,0.07505137709565322,6.675515730318778,11.761622953418799,1.864106279409772,538.47444,555.813316968,17949.147999999997
30,1,custom,6416,63400,10.12,267,19000,1.41,29,135,21.48,70,240,29.17,10.0,7.288,2.7,137.211855104281,-0.004,-0.202,10.0,100.0,99.96001599360257,0.151,0.0,10.0,100.0,101.5331505736623,0.254,0.154,0.1,9953,99.53,98.027097,10047.221943132723,10201.260983990987,1.5659635198149506,143.53174204475317,346.45592907354217,37.63004473083417,25.28062,24.898882638,25280.62
30,2,custom,6479,63400,10.22,267,19000,1.41,43.5,135,32.22,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,0.145,0.0,10.0,100.0,101.47133434804667,0.302,0.201,0.1,19918,199.18,196.29189000000002,5020.584396023697,5094.453978715065,0.7749011261033643,67.84573508140132,115.41573324192407,18.80368687649325,60.15236,59.28015078000001,30076.18
30,5,custom,6496,63400,10.25,267,19000,1.41,43.5,135,32.22,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,-0.066,-3.185,10.0,100.0,99.34432743890324,0.301,0.201,0.1,49759,497.59,500.874094,2009.6866898450533,1996.5097256557253,0.3093729510229454,27.157928241149367,46.19969401942651,7.5269164413672405,149.77459,150.763102294,29954.917999999998
30,10,custom,6499,63400,10.25,267,19000,1.41,43.5,135,32.22,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,0.041,0.0,10.0,100.0,100.41168792047395,0.302,0.202,0.1,99494,994.94,990.860746,1005.0857338130942,1009.2235503696097,0.15465236710464597,13.582239646122895,23.10541916811711,3.7643660442437983,300.47188,299.23994529199996,30047.188000000002
30,15,custom,6495,63400,10.24,267,19000,1.41,43.5,135,32.22,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,0.028,0.0,10.0,100.0,100.28078620136382,0.299,0.199,0.1,149229,1492.29,1488.111588,670.111037398897,671.992616725729,0.10317336988435674,9.055554559444554,15.404851434457402,2.509779166288004,446.19471,444.945364812,29746.314
30,20,custom,6512,63400,10.27,267,19000,1.41,43.5,135,32.22,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.003,-0.154,10.0,100.0,99.97000899730081,-0.276,-24.707,10.0,100.0,97.31413001167769,0.287,0.187,0.1,198964,1989.64,2044.5540640000002,502.60348605777926,489.10420986549167,0.07718112500887274,6.7919390007808005,11.55410312776504,1.8824100601414955,571.0266799999999,586.787016368,28551.333999999995
30,25,custom,6488,63400,10.23,267,19000,1.41,43.5,135,32.22,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.003,-0.154,10.0,100.0,99.97000899730081,0.189,0.0,10.0,100.0,101.92640913260625,0.283,0.183,0.1,248699,2486.99,2439.985889,402.09248931439214,409.83843575006836,0.06197479798310606,5.433682288032326,9.243505501480278,1.5059643794546522,703.8181699999999,690.516006587,28152.726799999997
30,30,custom,6490,63400,10.24,267,19000,1.41,43.5,135,32.22,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.003,-0.154,10.0,100.0,99.97000899730081,0.127,0.0,10.0,100.0,101.28633647320977,0.285,0.184,0.1,298434,2984.34,2946.438882,335.0824637943398,339.39275174145627,0.05163057993749457,4.528141402626213,7.703045144697467,1.2549905011023963,850.5369,839.7350813699999,28351.229999999996
40,1,custom,6510,63400,10.27,266,19000,1.4,49.5,135,36.67,70,240,29.17,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.017,0.0,10.0,100.0,100.17028949213663,0.249,0.149,0.1,13153,131.53,131.306399,7602.828252109784,7615.775069728323,1.1678691631505045,108.61183217299693,153.5924899416118,28.582061098157084,32.75097,32.695293351,32750.97
40,2,custom,6554,63400,10.34,266,19000,1.4,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.09,0.0,10.0,100.0,100.90817356205852,-0.017,-0.812,10.0,100.0,99.8302885095338,0.311,0.21,0.102,26318,263.18,263.62740599999995,3799.680826810548,3793.2323318464096,0.5797498972857107,51.347038200142535,46.33757105866522,14.284514386505819,81.84898,81.98812326599999,40924.49
40,5,custom,6572,63400,10.37,266,19000,1.4,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.09,0.0,10.0,100.0,100.90817356205852,-0.318,-2.374,10.0,100.0,96.91800736576856,0.309,0.207,0.102,65759,657.59,678.501362,1520.7043902735747,1473.836392976909,0.23139141665757376,20.55005932802128,18.545175491141155,5.716933798020958,203.19531,209.65692085799998,40639.062
