t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,3.73864e-13,6.21069e-13,-3.77598e-12,-9.49647e-08,5.71658e-08,-1.67589e-21,7.47728e-10,1.24214e-09,-3.77598e-09,-0.000189929,0.000114332,-3.35179e-18,0.619445,0.619547,0.619377,0.619275
0.004,6.13207e-12,1.01904e-11,-7.55197e-12,-4.18592e-07,2.51636e-07,5.43463e-17,6.28232e-09,1.04437e-08,-3.57758e-15,-0.000457326,0.00027461,-3.35179e-18,0.619459,0.619602,0.619363,0.61922
0.006,3.28324e-11,5.46012e-11,-9.43999e-12,-1.04655e-06,6.28623e-07,2.91115e-12,2.28835e-08,3.80739e-08,-1.88802e-09,-0.000798585,0.000479365,5.82174e-09,0.619472,0.619655,0.61935,0.619167
0.008,1.10344e-10,1.83608e-10,-1.13281e-11,-2.05116e-06,1.23147e-06,1.16444e-11,5.85709e-08,9.75035e-08,-1.58976e-13,-0.00121063,0.000726326,1.16435e-08,0.619485,0.619705,0.619337,0.619117
0.01,2.86254e-10,4.76513e-10,-7.55282e-12,-3.50261e-06,2.10231e-06,2.32891e-11,1.23035e-07,2.04893e-07,3.77542e-09,-0.00169227,0.00101536,1.16435e-08,0.619497,0.619755,0.619325,0.619067
0.012,6.29182e-10,1.04768e-09,-2.89785e-15,-5.47082e-06,3.28329e-06,3.49338e-11,2.27617e-07,3.79147e-07,3.77435e-09,-0.00224416,0.0013466,1.16435e-08,0.61951,0.619805,0.619313,0.619017
0.014,1.23209e-09,2.05204e-09,9.43167e-12,-8.02692e-06,4.81695e-06,5.5312e-11,3.8532e-07,6.41933e-07,5.65991e-09,-0.00286804,0.00172072,2.91087e-08,0.619522,0.619857,0.619299,0.618966
0.016,2.21562e-09,3.69069e-09,1.69711e-11,-1.12445e-05,6.7471e-06,8.44268e-11,6.10837e-07,1.01775e-06,1.87899e-09,-0.00356712,0.00213958,2.91087e-08,0.619536,0.61991,0.619286,0.618912
0.018,3.73157e-09,6.21663e-09,1.88327e-11,-1.52012e-05,9.12021e-06,1.10636e-10,9.20627e-07,1.53407e-06,-1.83126e-11,-0.0043462,0.00260665,2.3287e-08,0.61955,0.619967,0.619272,0.618855
0.02,5.96649e-09,9.94094e-09,1.68931e-11,-1.998e-05,1.19863e-05,1.36851e-10,1.33304e-06,2.22149e-06,-1.92278e-09,-0.00521157,0.00312555,2.91087e-08,0.619566,0.620029,0.619256,0.618793
0.022,9.14568e-09,1.52392e-08,1.49101e-11,-2.56708e-05,1.53995e-05,1.68885e-10,1.86847e-06,3.11403e-06,-6.25436e-11,-0.0061699,0.00370082,3.49304e-08,0.619582,0.620096,0.61924,0.618727
0.024,1.35374e-08,2.25588e-08,1.47436e-11,-3.23711e-05,1.94185e-05,2.09648e-10,2.54952e-06,4.24934e-06,-1.07412e-10,-0.00723067,0.00433712,4.65739e-08,0.6196,0.620169,0.619222,0.618654
0.026,1.94574e-08,3.24261e-08,1.44637e-11,-4.01886e-05,2.41079e-05,2.56223e-10,3.4012e-06,5.66912e-06,-1.7754e-10,-0.00840444,0.00504181,4.65739e-08,0.61962,0.620249,0.619202,0.618573
0.028,2.72743e-08,4.54556e-08,1.40093e-11,-4.92427e-05,2.95398e-05,3.14418e-10,4.45122e-06,7.41952e-06,-2.84084e-10,-0.00970376,0.00582183,6.98609e-08,0.619643,0.620339,0.619179,0.618483
0.03,3.74149e-08,6.23585e-08,1.51812e-11,-5.96659e-05,3.57933e-05,3.87146e-10,5.73023e-06,9.5516e-06,1.44589e-09,-0.0111427,0.00668533,7.56826e-08,0.619668,0.620439,0.619154,0.618384
0.032,5.03704e-08,8.3954e-08,1.59693e-11,-7.16058e-05,4.29572e-05,4.71491e-10,7.27218e-06,1.21219e-05,-6.71695e-10,-0.012737,0.00764232,9.31479e-08,0.619695,0.62055,0.619126,0.618273
0.034,6.67039e-08,1.1118e-07,1.62052e-11,-8.52268e-05,5.11302e-05,5.73253e-10,9.11471e-06,1.51932e-05,8.88568e-10,-0.014505,0.00870376,1.10613e-07,0.619726,0.620674,0.619096,0.618149
0.036,8.70573e-08,1.45107e-07,1.75472e-11,-0.000100713,6.04231e-05,6.89507e-10,1.12995e-05,1.88349e-05,4.27875e-10,-0.0164679,0.00988207,1.22257e-07,0.619761,0.620813,0.619061,0.618009
0.038,1.12161e-07,1.86951e-07,1.77982e-11,-0.000118271,7.09595e-05,8.11528e-10,1.3873e-05,2.31243e-05,-2.11143e-10,-0.0186485,0.0111907,1.22257e-07,0.6198,0.620968,0.619022,0.617854
0.04,1.42841e-07,2.38091e-07,2.03217e-11,-0.000137873,8.27216e-05,1.76609e-09,1.68845e-05,2.81436e-05,2.68997e-09,-0.0205547,0.0123335,1.78727e-06,0.619735,0.620789,0.619053,0.618068
0.042,1.80021e-07,3.00063e-07,2.45804e-11,-0.000159279,9.55654e-05,4.39743e-09,2.03791e-05,3.39682e-05,1.51214e-09,-0.0222566,0.013354,3.47558e-06,0.619698,0.620643,0.61909,0.618213
0.044,2.24707e-07,3.74545e-07,2.98939e-11,-0.000182295,0.000109375,8.70554e-09,2.43971e-05,4.06649e-05,3.73149e-09,-0.023776,0.0142649,5.1406e-06,0.619666,0.620513,0.619123,0.618344
0.046,2.77982e-07,4.63344e-07,3.35339e-11,-0.000206749,0.000124046,1.46759e-08,2.89741e-05,4.82935e-05,-1.7611e-10,-0.0251324,0.0150781,6.79979e-06,0.619636,0.620396,0.619152,0.61846
0.048,3.40998e-07,5.68376e-07,3.25957e-11,-0.000232486,0.000139487,2.23113e-08,3.41423e-05,5.69073e-05,-8.62629e-10,-0.0263421,0.0158035,8.47063e-06,0.61961,0.620292,0.619178,0.618565
0.05,4.14964e-07,6.91662e-07,3.34236e-11,-0.000259368,0.000155614,3.16061e-08,3.99301e-05,6.6554e-05,1.57295e-09,-0.0274209,0.0164501,1.01182e-05,0.619587,0.620198,0.619201,0.618658
0.052,5.01148e-07,8.35309e-07,3.46055e-11,-0.000287269,0.000172352,4.25485e-08,4.63629e-05,7.72759e-05,-5.26715e-10,-0.0283819,0.0170267,1.17657e-05,0.619566,0.620114,0.619223,0.618742
0.054,6.00861e-07,1.00151e-06,3.26247e-11,-0.000316079,0.000189636,5.51413e-08,5.34634e-05,8.91107e-05,-1.60871e-09,-0.0292372,0.0175399,1.34191e-05,0.619547,0.620039,0.619242,0.618817
0.056,7.1546e-07,1.19252e-06,3.12892e-11,-0.000345696,0.000207404,6.93875e-08,6.12518e-05,0.000102092,9.8887e-11,-0.029998,0.0179967,1.50725e-05,0.61953,0.619972,0.619259,0.618885
0.058,8.46339e-07,1.41066e-06,3.22825e-11,-0.000376033,0.000225604,8.5287e-08,6.97461e-05,0.00011625,6.99643e-10,-0.0306741,0.0184024,1.67259e-05,0.619515,0.619911,0.619274,0.618945
0.06,9.94926e-07,1.65832e-06,3.32672e-11,-0.000407007,0.000244186,1.02822e-07,7.89622e-05,0.000131612,6.93368e-11,-0.0312744,0.0187625,1.83443e-05,0.619502,0.619856,0.619288,0.618999
0.062,1.16268e-06,1.93793e-06,3.54302e-11,-0.000438547,0.000263108,1.2197e-07,8.89143e-05,0.0001482,1.85651e-09,-0.0318065,0.0190818,1.99511e-05,0.61949,0.619808,0.6193,0.619048
0.064,1.35108e-06,2.25195e-06,3.78128e-11,-0.000470589,0.000282331,1.42722e-07,9.96149e-05,0.000166035,2.67041e-10,-0.0322778,0.0193642,2.15521e-05,0.619479,0.619764,0.619311,0.619091
0.066,1.56164e-06,2.60291e-06,3.91937e-11,-0.000503075,0.00030182,1.65075e-07,0.000111075,0.000185137,8.32489e-10,-0.0326942,0.0196139,2.31531e-05,0.619469,0.619725,0.619321,0.619131
0.068,1.7959e-06,2.99336e-06,4.18606e-11,-0.000535953,0.000321545,1.89026e-07,0.000123305,0.000205522,1.53062e-09,-0.033062,0.0198351,2.47482e-05,0.619461,0.619691,0.61933,0.619165
0.07,2.05538e-06,3.42586e-06,4.78315e-11,-0.000569177,0.000341477,2.14567e-07,0.000136313,0.000227204,4.11367e-09,-0.0333855,0.0200295,2.63317e-05,0.619453,0.619659,0.619338,0.619197
0.072,2.34167e-06,3.90304e-06,6.07393e-11,-0.000602705,0.000361592,2.41684e-07,0.000150106,0.000250195,8.44475e-09,-0.0336697,0.0202002,2.79036e-05,0.619446,0.619631,0.619345,0.619225
0.074,2.65634e-06,4.42752e-06,7.45027e-11,-0.000636499,0.000381867,2.70371e-07,0.000164692,0.000274507,4.94618e-09,-0.0339183,0.0203499,2.94697e-05,0.61944,0.619605,0.619351,0.61925
0.076,3.00097e-06,5.00196e-06,8.654e-11,-0.000670526,0.000402283,3.00611e-07,0.000180077,0.00030015,6.69555e-09,-0.0341359,0.020481,3.10124e-05,0.619435,0.619583,0.619357,0.619272
0.078,3.37718e-06,5.62902e-06,9.96564e-11,-0.000704756,0.00042282,3.32388e-07,0.000196265,0.000327133,6.00213e-09,-0.0343249,0.0205944,3.25435e-05,0.61943,0.619562,0.619362,0.619293
