t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-6.16389e-17,-1.02735e-16,-2.94875e-19,1.57088e-11,-9.4249e-12,-4.09756e-18,-1.23278e-13,-2.05471e-13,-2.94875e-16,3.14175e-08,-1.88498e-08,-8.19512e-15,0.619411,0.619411,0.619411,0.619411
0.004,-9.9335e-16,-1.65565e-15,-1.13687e-19,6.46525e-11,-3.87895e-11,-1.22659e-17,-1.00048e-12,-1.66754e-12,4.76064e-16,6.647e-08,-3.98793e-08,-8.14149e-15,0.619411,0.619411,0.619411,0.619411
0.006,-5.10099e-15,-8.50208e-15,3.0127e-18,1.47172e-10,-8.8297e-11,-1.83795e-17,-3.43095e-12,-5.71857e-12,2.65032e-15,9.85686e-08,-5.91358e-08,-4.08583e-15,0.619411,0.619411,0.619411,0.619411
0.008,-1.62569e-14,-2.70965e-14,1.23244e-17,2.59953e-10,-1.55959e-10,-1.8713e-17,-8.16749e-12,-1.36134e-11,6.66134e-15,1.26994e-07,-7.61877e-08,3.41882e-15,0.619411,0.619411,0.619411,0.619411
0.01,-3.97575e-14,-6.6267e-14,3.09548e-17,3.99495e-10,-2.39674e-10,-1.01157e-17,-1.58806e-11,-2.64697e-11,1.19691e-14,1.5209e-07,-9.12422e-08,1.37758e-14,0.619411,0.619411,0.619411,0.619411
0.012,-8.21604e-14,-1.36945e-13,6.13589e-17,5.62694e-10,-3.3758e-10,1.01727e-17,-2.71627e-11,-4.52752e-11,1.8435e-14,1.74308e-07,-1.0457e-07,2.68009e-14,0.619411,0.619411,0.619411,0.619411
0.014,-1.51139e-13,-2.51919e-13,1.05565e-16,7.46864e-10,-4.48066e-10,4.42067e-17,-4.25384e-11,-7.09042e-11,2.57714e-14,1.94033e-07,-1.16402e-07,4.12672e-14,0.619411,0.619411,0.619411,0.619411
0.016,-2.55355e-13,-4.2563e-13,1.64412e-16,9.49668e-10,-5.69728e-10,9.2516e-17,-6.24731e-11,-1.04133e-10,3.30758e-14,2.11574e-07,-1.26923e-07,5.53514e-14,0.619411,0.619411,0.619411,0.619411
0.018,-4.04348e-13,-6.73979e-13,2.40249e-16,1.16904e-09,-7.0133e-10,1.55838e-16,-8.73806e-11,-1.45651e-10,4.27605e-14,2.27176e-07,-1.36281e-07,7.12925e-14,0.619411,0.619411,0.619411,0.619411
0.02,-6.08439e-13,-1.01417e-12,3.30658e-16,1.40315e-09,-8.41769e-10,2.32389e-16,-1.17629e-10,-1.96072e-10,4.7649e-14,2.41038e-07,-1.44596e-07,8.18104e-14,0.619411,0.619411,0.619411,0.619411
0.022,-8.78697e-13,-1.46466e-12,4.34099e-16,1.66387e-09,-9.98169e-10,3.15745e-16,-1.53651e-10,-2.56118e-10,5.57918e-14,2.8039e-07,-1.68203e-07,8.49007e-14,0.619411,0.619411,0.619411,0.619411
0.024,-1.22745e-12,-2.04599e-12,5.55289e-16,1.96527e-09,-1.17898e-09,4.09774e-16,-1.96285e-10,-3.27184e-10,6.53984e-14,3.22426e-07,-1.93422e-07,1.03158e-13,0.619411,0.619411,0.619411,0.619411
0.026,-1.66889e-12,-2.78182e-12,6.9743e-16,2.30701e-09,-1.38399e-09,5.25153e-16,-2.46494e-10,-4.1088e-10,7.67422e-14,3.61051e-07,-2.16596e-07,1.27599e-13,0.619411,0.619411,0.619411,0.619411
0.028,-2.21909e-12,-3.69894e-12,8.67804e-16,2.6853e-09,-1.61093e-09,6.66052e-16,-3.05187e-10,-5.08717e-10,9.36318e-14,3.95516e-07,-2.37275e-07,1.54199e-13,0.619411,0.619411,0.619411,0.619411
0.03,-2.89584e-12,-4.82702e-12,1.07249e-15,3.09609e-09,-1.85737e-09,8.35461e-16,-3.73175e-10,-6.22048e-10,1.11058e-13,4.26082e-07,-2.55614e-07,1.8462e-13,0.619411,0.619411,0.619411,0.619411
0.032,-3.71847e-12,-6.19827e-12,1.31491e-15,3.5357e-09,-2.1211e-09,1.0434e-15,-4.5118e-10,-7.52075e-10,1.31354e-13,4.53139e-07,-2.71849e-07,2.31256e-13,0.619411,0.619411,0.619411,0.619411
