t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-2.81056e-15,-4.68424e-15,-1.01505e-15,7.16245e-10,-4.29749e-10,-6.56876e-15,-5.62112e-12,-9.36848e-12,-1.01505e-12,1.43249e-06,-8.59499e-07,-1.31375e-11,0.619411,0.61941,0.619411,0.619412
0.004,-4.52951e-14,-7.54913e-14,-3.8376e-15,2.94808e-09,-1.76886e-09,-1.93312e-14,-4.56211e-11,-7.60348e-11,-1.8075e-12,3.03118e-06,-1.81872e-06,-1.23873e-11,0.619411,0.61941,0.619411,0.619412
0.006,-2.32609e-13,-3.87679e-13,-8.06118e-15,6.71126e-09,-4.02678e-09,-3.13493e-14,-1.56459e-10,-2.60764e-10,-2.41608e-12,4.49519e-06,-2.69713e-06,-1.16489e-11,0.619411,0.61941,0.619411,0.619412
0.008,-7.4136e-13,-1.23559e-12,-1.33676e-14,1.18547e-08,-7.11284e-09,-4.25835e-14,-3.72475e-10,-6.20788e-10,-2.8903e-12,5.79162e-06,-3.47499e-06,-1.08196e-11,0.619411,0.61941,0.619411,0.619412
0.01,-1.81312e-12,-3.02184e-12,-1.94465e-14,1.82186e-08,-1.09312e-08,-5.29153e-14,-7.24254e-10,-1.20708e-09,-3.18864e-12,6.93621e-06,-4.16175e-06,-9.84412e-12,0.619411,0.61941,0.619411,0.619412
0.012,-3.74699e-12,-6.24494e-12,-2.61557e-14,2.56614e-08,-1.53969e-08,-6.24199e-14,-1.23882e-09,-2.06469e-09,-3.52052e-12,7.94951e-06,-4.76972e-06,-9.16504e-12,0.619411,0.61941,0.619411,0.619412
0.014,-6.89296e-12,-1.14882e-11,-3.3384e-14,3.40607e-08,-2.04365e-08,-7.11519e-14,-1.94011e-09,-3.2335e-09,-3.70783e-12,8.84911e-06,-5.30948e-06,-8.29892e-12,0.619411,0.61941,0.619411,0.619412
0.016,-1.16461e-11,-1.94101e-11,-4.08505e-14,4.33098e-08,-2.5986e-08,-7.89159e-14,-2.84935e-09,-4.7489e-09,-3.75866e-12,9.64907e-06,-5.78946e-06,-7.22911e-12,0.619411,0.61941,0.619411,0.619412
0.018,-1.84417e-11,-3.07359e-11,-4.84253e-14,5.33147e-08,-3.19889e-08,-8.56429e-14,-3.98543e-09,-6.64234e-09,-3.81618e-12,1.03606e-05,-6.21638e-06,-6.22488e-12,0.619411,0.619411,0.619411,0.619412
0.02,-2.77503e-11,-4.62503e-11,-5.60399e-14,6.39914e-08,-3.8395e-08,-9.13244e-14,-5.36512e-09,-8.94182e-09,-3.79836e-12,1.09928e-05,-6.59569e-06,-5.13807e-12,0.619411,0.619411,0.619411,0.619412
0.022,-4.0077e-11,-6.67946e-11,-7.19728e-14,7.58811e-08,-4.55288e-08,-1.08569e-13,-7.00818e-09,-1.16802e-08,-1.21346e-11,1.27866e-05,-7.67199e-06,-2.93519e-11,0.619411,0.61941,0.619411,0.619412
0.024,-5.5984e-11,-9.33062e-11,-1.03324e-13,8.96263e-08,-5.3776e-08,-1.36853e-13,-8.95278e-09,-1.49212e-08,-1.92165e-11,1.47038e-05,-8.82227e-06,-2.72144e-11,0.619411,0.61941,0.619411,0.619412
0.026,-7.61186e-11,-1.26864e-10,-1.486e-13,1.05211e-07,-6.31268e-08,-1.63355e-13,-1.1243e-08,-1.87382e-08,-2.60601e-11,1.64656e-05,-9.87934e-06,-2.57896e-11,0.619411,0.61941,0.619411,0.619412
