t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-9.86093e-17,-1.64387e-16,-4.26326e-20,2.51356e-11,-1.50779e-11,-9.99838e-18,-1.97219e-13,-3.28774e-13,-4.26326e-17,5.02712e-08,-3.01558e-08,-1.99968e-14,0.619411,0.619411,0.619411,0.619411
0.004,-1.58916e-15,-2.64921e-15,1.12621e-18,1.03451e-10,-6.20559e-11,-2.96683e-17,-1.60057e-12,-2.66823e-12,1.21148e-15,1.06359e-07,-6.38003e-08,-1.93432e-14,0.619411,0.619411,0.619411,0.619411
0.006,-8.16062e-15,-1.36042e-14,7.40386e-18,2.3549e-10,-1.41261e-10,-4.62781e-17,-5.4889e-12,-9.15029e-12,5.06617e-15,1.57719e-07,-9.46096e-08,-1.38764e-14,0.619411,0.619411,0.619411,0.619411
0.008,-2.60082e-14,-4.33571e-14,2.38742e-17,4.1595e-10,-2.49512e-10,-5.48302e-17,-1.30666e-11,-2.17828e-11,1.14042e-14,2.032e-07,-1.21892e-07,-3.22777e-15,0.619411,0.619411,0.619411,0.619411
0.01,-6.36054e-14,-1.06034e-13,5.33795e-17,6.39227e-10,-3.83448e-10,-5.27638e-17,-2.54066e-11,-4.23541e-11,1.81011e-14,2.43355e-07,-1.4598e-07,7.36052e-15,0.619411,0.619411,0.619411,0.619411
0.012,-1.31444e-13,-2.19125e-13,9.96856e-17,9.00356e-10,-5.40091e-10,-3.59948e-17,-4.34566e-11,-7.24445e-11,2.8205e-14,2.78903e-07,-1.67305e-07,2.61774e-14,0.619411,0.619411,0.619411,0.619411
0.014,-2.41801e-13,-4.03095e-13,1.67667e-16,1.19504e-09,-7.16862e-10,1.10106e-18,-6.80562e-11,-1.13453e-10,3.97762e-14,3.10463e-07,-1.86238e-07,4.80143e-14,0.619411,0.619411,0.619411,0.619411
0.016,-4.08534e-13,-6.81046e-13,2.58314e-16,1.51953e-09,-9.11517e-10,6.07662e-17,-9.99499e-11,-1.66621e-10,5.08713e-14,3.38528e-07,-2.03073e-07,7.13159e-14,0.619411,0.619411,0.619411,0.619411
0.018,-6.46907e-13,-1.07842e-12,3.73124e-16,1.87054e-09,-1.12208e-09,1.4464e-16,-1.398e-10,-2.33053e-10,6.39382e-14,3.6349e-07,-2.18048e-07,9.64309e-14,0.619411,0.619411,0.619411,0.619411
0.02,-9.73433e-13,-1.62276e-12,5.16017e-16,2.24512e-09,-1.34678e-09,2.57476e-16,-1.88196e-10,-3.1373e-10,7.89555e-14,3.85668e-07,-2.31353e-07,1.29242e-13,0.619411,0.619411,0.619411,0.619411
0.022,-1.40582e-12,-2.34357e-12,6.88608e-16,2.66227e-09,-1.59702e-09,3.81001e-16,-2.45829e-10,-4.09807e-10,9.36353e-14,4.48629e-07,-2.69134e-07,1.17809e-13,0.619411,0.619411,0.619411,0.619411
0.024,-1.9638e-12,-3.27373e-12,8.93124e-16,3.14453e-09,-1.88634e-09,5.16897e-16,-3.14041e-10,-5.23516e-10,1.1088e-13,5.15886e-07,-3.09495e-07,1.53984e-13,0.619411,0.619411,0.619411,0.619411
0.026,-2.67007e-12,-4.45111e-12,1.13344e-15,3.69131e-09,-2.21437e-09,6.89717e-16,-3.94376e-10,-6.57433e-10,1.2944e-13,5.77686e-07,-3.46581e-07,1.91655e-13,0.619411,0.619411,0.619411,0.619411
0.028,-3.55035e-12,-5.91856e-12,1.41259e-15,4.29657e-09,-2.5775e-09,9.01042e-16,-4.88284e-10,-8.13975e-10,1.49711e-13,6.32831e-07,-3.79674e-07,2.30995e-13,0.619411,0.619411,0.619411,0.619411
0.03,-4.63313e-12,-7.72354e-12,1.73524e-15,4.95386e-09,-2.97185e-09,1.14446e-15,-5.97066e-10,-9.95309e-10,1.72932e-13,6.81736e-07,-4.09022e-07,2.55845e-13,0.619411,0.619411,0.619411,0.619411
0.032,-5.94931e-12,-9.91761e-12,2.11346e-15,5.65724e-09,-3.39386e-09,1.42328e-15,-7.21877e-10,-1.20336e-09,2.05291e-13,7.25028e-07,-4.35002e-07,3.01802e-13,0.619411,0.619411,0.619411,0.619411
0.034,-7.532e-12,-1.25559e-11,2.55396e-15,6.40139e-09,-3.84034e-09,1.74459e-15,-8.63737e-10,-1.43982e-09,2.35204e-13,7.63276e-07,-4.57954e-07,3.40806e-13,0.619411,0.619411,0.619411,0.619411
0.036,-9.41623e-12,-1.56969e-11,3.05588e-15,7.18151e-09,-4.3084e-09,2.11019e-15,-1.02355e-09,-1.70621e-09,2.66717e-13,7.96959e-07,-4.78168e-07,3.90406e-13,0.619411,0.619411,0.619411,0.619411
0.038,-1.16387e-11,-1.94016e-11,3.62479e-15,7.99323e-09,-4.79543e-09,2.52918e-15,-1.20211e-09,-2.00384e-09,3.02194e-13,8.26484e-07,-4.95886e-07,4.47567e-13,0.619411,0.619411,0.619411,0.619411
0.04,-1.42376e-11,-2.37338e-11,4.25857e-15,8.83257e-09,-5.29903e-09,2.99819e-15,-1.40011e-09,-2.33388e-09,3.31582e-13,8.52199e-07,-5.11318e-07,4.90447e-13,0.619411,0.619411,0.619411,0.619411
0.042,-1.72526e-11,-2.87596e-11,4.93204e-15,9.7245e-09,-5.83419e-09,3.48315e-15,-1.61839e-09,-2.69771e-09,3.41889e-13,9.31663e-07,-5.59007e-07,4.79476e-13,0.619411,0.619411,0.619411,0.619411
0.044,-2.07258e-11,-3.4549e-11,5.64206e-15,1.0699e-08,-6.41889e-09,3.9841e-15,-1.85863e-09,-3.09814e-09,3.68133e-13,1.01727e-06,-6.10379e-07,5.22419e-13,0.619411,0.619411,0.619411,0.619411
0.046,-2.47031e-11,-4.11787e-11,6.42114e-15,1.17556e-08,-7.05291e-09,4.53757e-15,-2.12279e-09,-3.53844e-09,4.10947e-13,1.09606e-06,-6.57666e-07,5.84531e-13,0.619411,0.619411,0.619411,0.619411
0.048,-2.92342e-11,-4.87314e-11,7.28259e-15,1.28868e-08,-7.73163e-09,5.16148e-15,-2.41272e-09,-4.02169e-09,4.50499e-13,1.16625e-06,-6.99787e-07,6.63282e-13,0.619411,0.619411,0.619411,0.619411
0.05,-3.43723e-11,-5.7296e-11,8.2108e-15,1.4084e-08,-8.45001e-09,5.84697e-15,-2.73009e-09,-4.55066e-09,4.77716e-13,1.22821e-06,-7.36973e-07,7.0772e-13,0.619411,0.619411,0.619411,0.619411
0.052,-4.01738e-11,-6.69662e-11,9.213e-15,1.53395e-08,-9.20332e-09,6.60098e-15,-3.07634e-09,-5.12777e-09,5.24484e-13,1.28266e-06,-7.69646e-07,8.00303e-13,0.619411,0.619411,0.619411,0.619411
