t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-1.36891e-15,-2.28147e-15,-3.26494e-18,3.48849e-10,-2.09314e-10,-1.53011e-15,-2.73783e-12,-4.56294e-12,-3.26494e-15,6.97698e-07,-4.18628e-07,-3.06022e-12,0.619411,0.619411,0.619411,0.619412
0.004,-2.20612e-14,-3.67679e-14,2.44142e-17,1.43582e-09,-8.61509e-10,-4.46679e-15,-2.22198e-11,-3.70322e-11,3.09441e-14,1.47623e-06,-8.85762e-07,-2.81315e-12,0.619411,0.61941,0.619411,0.619412
0.006,-1.13291e-13,-1.88814e-13,1.72506e-16,3.26852e-09,-1.96116e-09,-7.12414e-15,-7.62017e-11,-1.27e-10,1.17147e-13,2.18917e-06,-1.31353e-06,-2.50155e-12,0.619411,0.619411,0.619411,0.619412
0.008,-3.6107e-13,-6.01769e-13,4.75615e-16,5.77335e-09,-3.46409e-09,-9.5097e-15,-1.81406e-10,-3.02337e-10,1.85961e-13,2.82049e-06,-1.69234e-06,-2.26957e-12,0.619411,0.619411,0.619411,0.619412
0.01,-8.83043e-13,-1.4717e-12,9.26646e-16,8.87253e-09,-5.32365e-09,-1.16354e-14,-3.52728e-10,-5.87867e-10,2.6507e-13,3.37788e-06,-2.02678e-06,-1.98191e-12,0.619411,0.619411,0.619411,0.619411
0.012,-1.82488e-12,-3.04139e-12,1.59047e-15,1.24971e-08,-7.49846e-09,-1.34133e-14,-6.0333e-10,-1.00553e-09,3.98751e-13,3.87132e-06,-2.32285e-06,-1.57383e-12,0.619411,0.619411,0.619411,0.619411
0.014,-3.35702e-12,-5.5949e-12,2.55681e-15,1.65875e-08,-9.95275e-09,-1.47756e-14,-9.44863e-10,-1.57473e-09,5.67594e-13,4.30941e-06,-2.58571e-06,-1.15066e-12,0.619411,0.619411,0.619411,0.619411
0.016,-5.67188e-12,-9.4529e-12,3.87035e-15,2.10917e-08,-1.26553e-08,-1.57272e-14,-1.38767e-09,-2.31273e-09,7.4594e-13,4.69896e-06,-2.81945e-06,-7.52644e-13,0.619411,0.619411,0.619411,0.619411
0.018,-8.98137e-12,-1.49686e-11,5.52369e-15,2.59639e-08,-1.55787e-08,-1.62916e-14,-1.94094e-09,-3.23482e-09,9.07397e-13,5.04546e-06,-3.02736e-06,-3.76147e-13,0.619411,0.619411,0.619411,0.619411
0.02,-1.35148e-11,-2.25241e-11,7.52581e-15,3.11633e-08,-1.86985e-08,-1.64379e-14,-2.61286e-09,-4.35465e-09,1.09472e-12,5.35332e-06,-3.21208e-06,8.36304e-14,0.619411,0.619411,0.619411,0.619411
0.022,-1.95179e-11,-3.25291e-11,9.15635e-15,3.69535e-08,-2.21727e-08,-1.90626e-14,-3.41303e-09,-5.68825e-09,5.35821e-13,6.22708e-06,-3.73634e-06,-5.33308e-12,0.619411,0.61941,0.619411,0.619412
0.024,-2.72648e-11,-4.54401e-11,9.69631e-15,4.36474e-08,-2.61891e-08,-2.39314e-14,-4.36006e-09,-7.26658e-09,4.12885e-15,7.16069e-06,-4.2965e-06,-4.4045e-12,0.619411,0.61941,0.619411,0.619412
0.026,-3.70704e-11,-6.17825e-11,9.2631e-15,5.1237e-08,-3.0743e-08,-2.78664e-14,-5.47538e-09,-9.12541e-09,-4.37346e-13,8.01861e-06,-4.81125e-06,-3.46551e-12,0.619411,0.61941,0.619411,0.619412
0.028,-4.9292e-11,-8.21512e-11,8.10332e-15,5.96384e-08,-3.57839e-08,-3.0801e-14,-6.77914e-09,-1.12983e-08,-7.22443e-13,8.78414e-06,-5.27056e-06,-2.40368e-12,0.619411,0.619411,0.619411,0.619412
0.03,-6.43247e-11,-1.07205e-10,6.52341e-15,6.8762e-08,-4.12581e-08,-3.27317e-14,-8.28937e-09,-1.38153e-08,-8.57477e-13,9.46306e-06,-5.67791e-06,-1.45775e-12,0.619411,0.619411,0.619411,0.619412
0.032,-8.25978e-11,-1.3766e-10,4.68642e-15,7.85256e-08,-4.71163e-08,-3.37609e-14,-1.00221e-08,-1.67031e-08,-9.79526e-13,1.00641e-05,-6.03851e-06,-6.00653e-13,0.619411,0.619411,0.619411,0.619411
0.034,-1.04571e-10,-1.74281e-10,2.71176e-15,8.88551e-08,-5.33141e-08,-3.3837e-14,-1.19915e-08,-1.99854e-08,-9.95147e-13,1.0595e-05,-6.35708e-06,4.48509e-13,0.619411,0.619411,0.619411,0.619411
0.036,-1.3073e-10,-2.17878e-10,7.01149e-16,9.96839e-08,-5.98115e-08,-3.28734e-14,-1.42101e-08,-2.3683e-08,-1.01548e-12,1.10626e-05,-6.63764e-06,1.47859e-12,0.619411,0.619411,0.619411,0.619411
0.038,-1.61585e-10,-2.69302e-10,-1.11629e-15,1.10951e-07,-6.65721e-08,-3.09573e-14,-1.66889e-08,-2.78143e-08,-8.0198e-13,1.14725e-05,-6.88357e-06,2.35355e-12,0.619411,0.619411,0.619411,0.619411
0.04,-1.97666e-10,-3.29435e-10,-2.60454e-15,1.22602e-07,-7.35627e-08,-2.79727e-14,-1.94377e-08,-3.23955e-08,-6.86293e-13,1.18295e-05,-7.09775e-06,3.61578e-12,0.619411,0.619411,0.619411,0.619411
0.042,-2.39523e-10,-3.99195e-10,-7.52649e-15,1.34983e-07,-8.09913e-08,-2.81036e-14,-2.24679e-08,-3.74457e-08,-4.23568e-12,1.29323e-05,-7.75946e-06,-3.87775e-12,0.619411,0.61941,0.619411,0.619412
0.044,-2.8774e-10,-4.79556e-10,-1.92953e-14,1.4851e-07,-8.91073e-08,-3.11949e-14,-2.58029e-08,-4.30039e-08,-7.53318e-12,1.41207e-05,-8.47253e-06,-2.30479e-12,0.619411,0.61941,0.619411,0.619412
0.046,-3.42956e-10,-5.7158e-10,-3.71193e-14,1.63178e-07,-9.79081e-08,-3.26797e-14,-2.947e-08,-4.91157e-08,-1.02909e-11,1.52147e-05,-9.12893e-06,-6.64854e-13,0.619411,0.61941,0.619411,0.619412
0.048,-4.05859e-10,-6.76417e-10,-6.02702e-14,1.78879e-07,-1.07329e-07,-3.2624e-14,-3.34948e-08,-5.58236e-08,-1.28601e-11,1.61892e-05,-9.71363e-06,7.76247e-13,0.619411,0.61941,0.619411,0.619412
0.05,-4.77189e-10,-7.95298e-10,-8.81758e-14,1.95499e-07,-1.17301e-07,-3.0974e-14,-3.79004e-08,-6.31661e-08,-1.50455e-11,1.70495e-05,-1.02298e-05,2.52375e-12,0.619411,0.61941,0.619411,0.619412
0.052,-5.57728e-10,-9.29527e-10,-1.2011e-13,2.12926e-07,-1.27758e-07,-2.765e-14,-4.2707e-08,-7.1177e-08,-1.68884e-11,1.78054e-05,-1.06834e-05,4.12413e-12,0.619411,0.619411,0.619411,0.619412
0.054,-6.48296e-10,-1.08047e-09,-1.55683e-13,2.31062e-07,-1.38639e-07,-2.25591e-14,-4.79324e-08,-7.98858e-08,-1.86853e-11,1.84663e-05,-1.10799e-05,6.05781e-12,0.619411,0.619411,0.619411,0.619412
0.056,-7.49747e-10,-1.24955e-09,-1.9463e-13,2.49816e-07,-1.49891e-07,-1.54674e-14,-5.35922e-08,-8.93188e-08,-2.02614e-11,1.90404e-05,-1.14244e-05,8.12543e-12,0.619411,0.619411,0.619411,0.619411
0.058,-8.62963e-10,-1.43824e-09,-2.36346e-13,2.69103e-07,-1.61464e-07,-6.65867e-15,-5.97e-08,-9.94984e-08,-2.14545e-11,1.95348e-05,-1.1721e-05,9.4921e-12,0.619411,0.619411,0.619411,0.619411
0.06,-9.88854e-10,-1.64806e-09,-2.80433e-13,2.88848e-07,-1.73311e-07,3.68255e-15,-6.62675e-08,-1.10444e-07,-2.26329e-11,1.99557e-05,-1.19735e-05,1.11903e-11,0.619411,0.619411,0.619411,0.619411
0.062,-1.12835e-09,-1.88055e-09,-3.37343e-13,3.09483e-07,-1.85692e-07,1.02192e-14,-7.33085e-08,-1.22179e-07,-3.42774e-11,2.13129e-05,-1.27879e-05,1.88302e-12,0.619411,0.61941,0.619411,0.619412
0.064,-1.28242e-09,-2.13733e-09,-4.16665e-13,3.31528e-07,-1.9892e-07,1.33074e-14,-8.08517e-08,-1.34751e-07,-4.50448e-11,2.27788e-05,-1.36674e-05,4.2933e-12,0.619411,0.61941,0.619411,0.619412
0.066,-1.45211e-09,-2.42014e-09,-5.16758e-13,3.54982e-07,-2.12992e-07,1.89089e-14,-8.89308e-08,-1.48216e-07,-5.50481e-11,2.4129e-05,-1.44775e-05,6.9097e-12,0.619411,0.61941,0.619411,0.619412
0.068,-1.63852e-09,-2.73082e-09,-6.35918e-13,3.79712e-07,-2.2783e-07,2.69492e-14,-9.75773e-08,-1.62626e-07,-6.41115e-11,2.53294e-05,-1.51977e-05,9.17077e-12,0.619411,0.61941,0.619411,0.619412
0.07,-1.84282e-09,-3.07131e-09,-7.72039e-13,4.05568e-07,-2.43344e-07,3.71915e-14,-1.0682e-07,-1.7803e-07,-7.20106e-11,2.63844e-05,-1.58308e-05,1.13139e-11,0.619411,0.61941,0.619411,0.619412
0.072,-2.06622e-09,-3.44363e-09,-9.23297e-13,4.32413e-07,-2.59451e-07,4.97565e-14,-1.16683e-07,-1.94468e-07,-7.92476e-11,2.73048e-05,-1.6383e-05,1.38161e-11,0.619411,0.61941,0.619411,0.619412
0.074,-2.30998e-09,-3.8499e-09,-1.08896e-12,4.60116e-07,-2.76073e-07,6.45442e-14,-1.27188e-07,-2.11977e-07,-8.64117e-11,2.81013e-05,-1.68609e-05,1.57593e-11,0.619411,0.61941,0.619411,0.619412
0.076,-2.57541e-09,-4.29228e-09,-1.26869e-12,4.88559e-07,-2.93139e-07,8.13389e-14,-1.38355e-07,-2.30588e-07,-9.33242e-11,2.87837e-05,-1.72704e-05,1.78299e-11,0.619411,0.619411,0.619411,0.619412
0.078,-2.86385e-09,-4.773e-09,-1.4606e-12,5.17631e-07,-3.10582e-07,1.00853e-13,-1.50199e-07,-2.50327e-07,-9.85885e-11,2.93607e-05,-1.76165e-05,2.11986e-11,0.619411,0.619411,0.619411,0.619411
0.08,-3.17667e-09,-5.29435e-09,-1.66279e-12,5.47231e-07,-3.28342e-07,1.23596e-13,-1.62733e-07,-2.71218e-07,-1.03596e-10,2.984e-05,-1.79042e-05,2.42862e-11,0.619411,0.619411,0.619411,0.619411
0.082,-3.51525e-09,-5.85866e-09,-1.89841e-12,5.7788e-07,-3.46732e-07,1.42844e-13,-1.75975e-07,-2.93288e-07,-1.32028e-10,3.1457e-05,-1.88743e-05,1.42099e-11,0.619411,0.61941,0.619411,0.619412
