t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-5.08194e-14,-8.47004e-14,-3.44632e-13,1.29511e-08,-7.77055e-09,-2.13888e-12,-1.01639e-10,-1.69401e-10,-3.44632e-10,2.59023e-05,-1.55411e-05,-4.27775e-09,0.619406,0.619393,0.619416,0.619429
0.004,-8.19049e-13,-1.3651e-12,-1.32229e-12,5.33178e-08,-3.19901e-08,-6.30529e-12,-8.24986e-10,-1.375e-09,-6.33023e-10,5.48311e-05,-3.28981e-05,-4.05508e-09,0.619406,0.61939,0.619416,0.619432
0.006,-4.2066e-12,-7.01112e-12,-2.84003e-12,1.21396e-07,-7.28366e-08,-1.0273e-11,-2.8297e-09,-4.71625e-09,-8.84716e-10,8.1326e-05,-4.87948e-05,-3.88037e-09,0.619406,0.619392,0.619416,0.61943
0.008,-1.34084e-11,-2.23477e-11,-4.83276e-12,2.14454e-07,-1.2867e-07,-1.4068e-11,-6.73723e-09,-1.12289e-08,-1.10802e-09,0.000104789,-6.28721e-05,-3.70951e-09,0.619407,0.619394,0.619415,0.619428
0.01,-3.27949e-11,-5.4659e-11,-7.24852e-12,3.296e-07,-1.97756e-07,-1.76964e-11,-1.31011e-08,-2.18355e-08,-1.30774e-09,0.000125503,-7.53005e-05,-3.54745e-09,0.619407,0.619396,0.619415,0.619426
0.012,-6.77779e-11,-1.12965e-10,-1.00414e-11,4.64272e-07,-2.78558e-07,-2.11636e-11,-2.24104e-08,-3.73513e-08,-1.4851e-09,0.000143842,-8.63034e-05,-3.3868e-09,0.619408,0.619398,0.619414,0.619424
0.014,-1.2469e-10,-2.0782e-10,-1.31701e-11,6.16254e-07,-3.69746e-07,-2.44713e-11,-3.50982e-08,-5.8498e-08,-1.64368e-09,0.000160122,-9.60715e-05,-3.22864e-09,0.619408,0.619399,0.619414,0.619423
0.016,-2.1068e-10,-3.5114e-10,-1.66039e-11,7.83614e-07,-4.7016e-07,-2.76295e-11,-5.15487e-08,-8.5916e-08,-1.79005e-09,0.000174599,-0.000104758,-3.08781e-09,0.619408,0.619401,0.619414,0.619421
0.018,-3.33622e-10,-5.56047e-10,-2.03172e-11,9.64652e-07,-5.78781e-07,-3.06442e-11,-7.21037e-08,-1.20175e-07,-1.92326e-09,0.000187476,-0.000112484,-2.94152e-09,0.619409,0.619402,0.619413,0.61942
0.02,-5.02035e-10,-8.36739e-10,-2.42848e-11,1.15785e-06,-6.94697e-07,-3.35132e-11,-9.70669e-08,-1.61781e-07,-2.04434e-09,0.000198917,-0.000119348,-2.79644e-09,0.619409,0.619403,0.619413,0.619419
