t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-2.25354e-14,-3.75591e-14,-6.83409e-14,5.74298e-09,-3.44578e-09,-4.20523e-13,-4.50707e-11,-7.51182e-11,-6.83409e-11,1.1486e-05,-6.89155e-06,-8.41046e-10,0.619409,0.619403,0.619413,0.619419
0.004,-3.6319e-13,-6.05318e-13,-2.62017e-13,2.36406e-08,-1.41843e-08,-1.23988e-12,-3.65814e-10,-6.09691e-10,-1.25335e-10,2.43092e-05,-1.45855e-05,-7.97662e-10,0.619409,0.619402,0.619413,0.61942
0.006,-1.86523e-12,-3.10872e-12,-5.61899e-13,5.38217e-08,-3.22929e-08,-2.01998e-12,-1.25466e-09,-2.0911e-09,-1.74547e-10,3.6053e-05,-2.16317e-05,-7.62551e-10,0.619409,0.619403,0.619413,0.619419
0.008,-5.94506e-12,-9.90846e-12,-9.54537e-13,9.50744e-08,-5.70445e-08,-2.76515e-12,-2.98705e-09,-4.97843e-09,-2.18091e-10,4.64525e-05,-2.78714e-05,-7.27773e-10,0.619409,0.619404,0.619413,0.619418
0.01,-1.45402e-11,-2.42337e-11,-1.42846e-12,1.46118e-07,-8.76703e-08,-3.47608e-12,-5.80834e-09,-9.6806e-09,-2.55832e-10,5.5634e-05,-3.33803e-05,-6.94103e-10,0.619409,0.619404,0.619413,0.619418
0.012,-3.00496e-11,-5.00828e-11,-1.97532e-12,2.05816e-07,-1.23489e-07,-4.15361e-12,-9.93534e-09,-1.6559e-08,-2.91032e-10,6.37623e-05,-3.82573e-05,-6.6094e-10,0.61941,0.619405,0.619413,0.619417
0.014,-5.52805e-11,-9.21345e-11,-2.58756e-12,2.73186e-07,-1.63911e-07,-4.79875e-12,-1.556e-08,-2.59334e-08,-3.21207e-10,7.09786e-05,-4.2587e-05,-6.29355e-10,0.61941,0.619406,0.619412,0.619416
0.016,-9.3402e-11,-1.55671e-10,-3.25688e-12,3.47373e-07,-2.08423e-07,-5.41246e-12,-2.28526e-08,-3.80878e-08,-3.48112e-10,7.73956e-05,-4.64372e-05,-5.98064e-10,0.61941,0.619406,0.619412,0.619416
0.018,-1.47904e-10,-2.46508e-10,-3.97598e-12,4.27623e-07,-2.56573e-07,-5.99315e-12,-3.19646e-08,-5.32745e-08,-3.70988e-10,8.31033e-05,-4.98617e-05,-5.63305e-10,0.61941,0.619407,0.619412,0.619415
0.02,-2.22564e-10,-3.70941e-10,-4.73844e-12,5.13262e-07,-3.07956e-07,-6.54151e-12,-4.30307e-08,-7.17181e-08,-3.91471e-10,8.81744e-05,-5.29044e-05,-5.33425e-10,0.61941,0.619407,0.619412,0.619415
0.022,-3.21429e-10,-5.35718e-10,-6.08284e-12,6.08626e-07,-3.65174e-07,-7.86126e-12,-5.62093e-08,-9.36825e-08,-9.52936e-10,0.000102555,-6.15324e-05,-2.10608e-09,0.619408,0.619401,0.619414,0.619421
0.024,-4.49013e-10,-7.48357e-10,-8.47951e-12,7.1887e-07,-4.3132e-07,-9.91124e-12,-7.18064e-08,-1.19678e-07,-1.44373e-09,0.000117932,-7.0759e-05,-1.99388e-09,0.619408,0.6194,0.619414,0.619422
0.026,-6.10504e-10,-1.01751e-09,-1.18025e-11,8.43868e-07,-5.06319e-07,-1.18575e-11,-9.01751e-08,-1.50292e-07,-1.87928e-09,0.000132065,-7.92386e-05,-1.89872e-09,0.619409,0.619401,0.619414,0.619421
0.028,-8.11783e-10,-1.35298e-09,-1.59564e-11,9.82239e-07,-5.89341e-07,-1.37125e-11,-1.11647e-07,-1.86079e-07,-2.27465e-09,0.000144676,-8.68051e-05,-1.81116e-09,0.619409,0.619402,0.619413,0.61942
0.03,-1.05936e-09,-1.76561e-09,-2.0865e-11,1.13251e-06,-6.79501e-07,-1.548e-11,-1.3652e-07,-2.27534e-07,-2.63392e-09,0.00015586,-9.35157e-05,-1.72381e-09,0.619409,0.619403,0.619413,0.619419
0.032,-1.36031e-09,-2.26719e-09,-2.64587e-11,1.29332e-06,-7.75987e-07,-1.71603e-11,-1.65057e-07,-2.75096e-07,-2.95975e-09,0.000165761,-9.94559e-05,-1.63689e-09,0.619409,0.619404,0.619413,0.619418
0.034,-1.72219e-09,-2.87033e-09,-3.26755e-11,1.46345e-06,-8.78067e-07,-1.87545e-11,-1.97493e-07,-3.29156e-07,-3.25711e-09,0.000174508,-0.000104704,-1.55144e-09,0.619409,0.619405,0.619413,0.619417
